character_id,quest_id,stage_id
101,11002,1
102,11002,2
103,11002,4
104,11005,1
105,11004,1
106,11004,2
107,11004,4
108,11005,2
109,11003,1
110,11003,2
111,11003,4
112,11005,3
113,11001,1
114,11001,2
115,11001,4
116,11005,4
280,20006,3
282,20007,3
284,20008,3
286,20005,3
356,11002,10
357,11004,10
358,11003,10
359,11001,10
270,30001,3
262,20001,3
294,30006,3
333,12001,2
334,12001,2
337,12001,2
338,12001,2
341,12001,2
342,12001,2
345,12001,2
346,12001,2
272,30002,3
264,20002,3
266,20003,3
306,30010,3
308,30011,3
310,30012,3
312,30009,2
298,20011,3
300,20012,3
302,20009,3
304,20010,3
292,30007,3
290,30005,3
288,30008,3
418,30013,2
420,30014,2
268,20004,3
274,30003,3
276,30004,3
278,41001,2
296,41002,2
314,41003,2
426,41004,2
422,30015,2
424,30016,2
452,30017,2
454,30018,2
456,30019,2
376,11216,1
458,30020,2
502,30021,3
504,30022,2
506,30023,3
508,41008,2
525,39001,3
526,39001,5
527,49001,1
528,49001,1
529,39001,5
530,39001,5
531,39001,5
532,39001,5
533,39001,5
534,39001,5
535,39001,5
536,39001,5
537,39001,5
538,39001,5
539,39001,5
540,39001,5
541,39001,5
542,39001,5
543,39001,5
544,39001,5
545,39001,5
546,39001,5
547,39001,5
548,39001,5
549,39001,5
550,39001,5
551,39001,5
552,39001,5
553,39001,5
554,39001,5
555,39001,5
556,39001,5
557,39002,6
558,39003,7
559,39004,8
573,50002,1
574,50002,1
575,41010,2
576,41010,2
577,30026,3
578,30026,3
579,30025,3
580,30025,3
581,41009,2
582,41009,2
583,30024,3
584,30024,3
460,41005,2
461,41005,2
472,41006,2
473,41006,2
490,41007,2
491,41007,2
654,41011,2
655,41011,2
646,30027,3
647,30027,3
650,30028,3
651,30028,3
648,30029,3
652,30030,3
764,30031,3
766,30032,3
720,20013,3
722,30033,3
644,41012,2
645,41012,2
642,41013,2
643,41013,2
656,41014,2
657,41014,2
768,41015,2
769,41015,2
724,40016,1
725,40016,1
693,39002,4
694,39002,4
691,39003,4
692,39003,4
121,11207,2
122,11207,2
123,11207,2
607,14003,1
608,14003,1
609,14003,1
840,30034,3
841,30034,3
842,20014,3
843,20014,3
844,40017,2
845,40017,2
856,20015,3
857,20015,3
858,30035,3
859,30035,3
907,39004,4
908,39004,4
8029,39005,3
8030,39005,5
736,30036,3
737,30036,3
738,20016,3
739,20016,3
931,20017,3
932,20017,3
933,30037,3
934,30037,3
860,40018,2
861,40018,2
740,40019,2
741,40019,2
1004,20018,3
1005,20018,3
1006,30038,3
1007,30038,3
981,39006,4
982,39006,4
983,39006,4
984,39006,4
935,40021,2
1008,40022,2
1020,20019,3
1022,30039,3
1059,20020,3
1061,30040,3
1024,40023,2
1063,40025,2
1094,20021,3
1096,30041,3
1098,40028,2
1129,30042,3
1131,40031,2
1133,40032,2
430,13300,15
431,13300,5
1145,30043,3
1149,40035,2
1200,30044,3
1202,40036,2
1204,40037,2
1218,40038,2
1220,40039,2
1216,30045,3
891,40027,2
1236,30046,3
1240,40040,2
1291,47005,1
1252,30047,3
1256,40042,2
1297,39009,5
1300,49011,1
1302,49010,1
1304,49009,1
780,40029,2
1324,30048,3
1326,40043,2
1504,39012,1
1505,39012,1
1506,39012,1
1507,39012,2
1508,39012,3
1509,39012,4
1510,39012,5
1523,49014,2
1373,30049,3
1375,40044,2
1238,40045,2
1379,50015,1
788,40024,2
1436,30050,3
1438,40046,2
1470,49015,3
1468,49015,3
1696,47014,3
