character_id,language,comment
837,ja,"【月～木曜日限定】素材クエスト上級ステージで稀に出現！"
85,ja,リンクガチャで手に入れよう！
86,ja,リンクガチャで手に入れよう！
87,ja,リンクガチャで手に入れよう！
88,ja,リンクガチャで手に入れよう！
89,ja,リンクガチャで手に入れよう！
90,ja,リンクガチャで手に入れよう！
91,ja,リンクガチャで手に入れよう！
92,ja,リンクガチャで手に入れよう！
93,ja,リンクガチャで手に入れよう！
94,ja,リンクガチャで手に入れよう！
95,ja,リンクガチャで手に入れよう！
332,ja,"アヒル捕獲作戦やリンクガチャで手に入れよう！"
336,ja,"アヒル捕獲作戦やリンクガチャで手に入れよう！"
340,ja,"アヒル捕獲作戦やリンクガチャで手に入れよう！"
344,ja,"アヒル捕獲作戦やリンクガチャで手に入れよう！"
607,ja,"【ロック】限界突破/ソロ【超級】果実の楽園(ハートなし)"
608,ja,"【ロック】限界突破/ソロ【超級】果実の楽園(ハートなし)"
609,ja,"【ロック】限界突破/ソロ【超級】果実の楽園(ハートなし)"
610,ja,"【ロック】限界突破/ソロ【超級】果実の楽園(ハートなし)"
878,ja,"CM記念ミッションを達成して、イグニスを手に入れよう！"
879,ja,"CM記念ミッションを達成して、イグニスを手に入れよう！"
377,ja,勘兵衛を覚醒しよう！
1433,ja,ログインボーナスで手に入れよう！
1434,ja,超越の果実を覚醒させて手に入れよう！
1692,ja,"800万ダウンロード記念のプレゼントで手に入れよう！"
1693,ja,"800万ダウンロード記念のプレゼントで手に入れよう！"
1694,ja,"800万ダウンロード記念のプレゼントで手に入れよう！"
1695,ja,"800万ダウンロード記念のプレゼントで手に入れよう！"
1719,ja,マリッジリングを覚醒しよう！
1717,ja,ブライドクエストで入手しよう！
