daily_login_limited_bonus_id,bonus_type,bonus_value,bonus_count,small_goal,finish,day
1,bit,300000,NULL,0,0,1
2,link,1000,NULL,0,0,2
3,unit,335,1,0,0,3
4,unit,339,1,0,0,3
5,unit,343,1,0,0,3
6,unit,347,1,0,0,3
7,unit,837,1,0,0,4
8,polygon,5,NULL,1,0,5
9,bit,500000,NULL,0,0,6
10,unit,614,2,0,0,7
11,unit,335,2,0,0,8
12,unit,339,2,0,0,8
13,unit,343,2,0,0,8
14,unit,347,2,0,0,8
15,item,2,2,0,0,9
16,polygon,7,NULL,1,0,10
17,bit,700000,NULL,0,0,11
18,link,2000,NULL,0,0,12
19,unit,614,2,0,0,13
20,item,4,2,0,0,14
21,polygon,10,NULL,1,0,15
22,bit,1000000,NULL,0,0,16
23,link,2500,NULL,0,0,17
24,unit,614,2,0,0,18
25,item,1,1,0,0,19
26,polygon,15,NULL,1,0,20
27,bit,1500000,NULL,0,0,21
28,link,3000,NULL,0,0,22
29,unit,614,2,0,0,23
30,item,1,3,0,0,24
31,polygon,20,NULL,1,0,25
32,bit,2000000,NULL,0,0,26
33,link,5000,NULL,0,0,27
34,unit,614,2,0,0,28
35,item,1,5,0,0,29
36,item,908,1,0,0,30
37,polygon,5,NULL,0,1,30
