daily_login_purchase_bonus_id,market,product_id,day,gift_id
1,aapl,jp.wonderplanet.CrashFever.Subscription001,1,800001
2,aapl,jp.wonderplanet.CrashFever.Subscription001,2,800002
3,aapl,jp.wonderplanet.CrashFever.Subscription001,3,800003
4,aapl,jp.wonderplanet.CrashFever.Subscription001,4,800004
5,aapl,jp.wonderplanet.CrashFever.Subscription001,5,800005
6,aapl,jp.wonderplanet.CrashFever.Subscription001,6,800006
7,aapl,jp.wonderplanet.CrashFever.Subscription001,7,800007
8,aapl,jp.wonderplanet.CrashFever.Subscription001,8,800008
9,aapl,jp.wonderplanet.CrashFever.Subscription001,9,800009
10,aapl,jp.wonderplanet.CrashFever.Subscription001,10,800010
11,aapl,jp.wonderplanet.CrashFever.Subscription001,11,800011
12,aapl,jp.wonderplanet.CrashFever.Subscription001,12,800012
13,aapl,jp.wonderplanet.CrashFever.Subscription001,13,800013
14,aapl,jp.wonderplanet.CrashFever.Subscription001,14,800014
15,aapl,jp.wonderplanet.CrashFever.Subscription001,15,800015
16,aapl,jp.wonderplanet.CrashFever.Subscription001,16,800016
17,aapl,jp.wonderplanet.CrashFever.Subscription001,17,800017
18,aapl,jp.wonderplanet.CrashFever.Subscription001,18,800018
19,aapl,jp.wonderplanet.CrashFever.Subscription001,19,800019
20,aapl,jp.wonderplanet.CrashFever.Subscription001,20,800020
21,aapl,jp.wonderplanet.CrashFever.Subscription001,21,800021
22,aapl,jp.wonderplanet.CrashFever.Subscription001,22,800022
23,aapl,jp.wonderplanet.CrashFever.Subscription001,23,800023
24,aapl,jp.wonderplanet.CrashFever.Subscription001,24,800024
25,aapl,jp.wonderplanet.CrashFever.Subscription001,25,800025
26,goog,jp.wonderplanet.crashfever.subscription001,1,800001
27,goog,jp.wonderplanet.crashfever.subscription001,2,800002
28,goog,jp.wonderplanet.crashfever.subscription001,3,800003
29,goog,jp.wonderplanet.crashfever.subscription001,4,800004
30,goog,jp.wonderplanet.crashfever.subscription001,5,800005
31,goog,jp.wonderplanet.crashfever.subscription001,6,800006
32,goog,jp.wonderplanet.crashfever.subscription001,7,800007
33,goog,jp.wonderplanet.crashfever.subscription001,8,800008
34,goog,jp.wonderplanet.crashfever.subscription001,9,800009
35,goog,jp.wonderplanet.crashfever.subscription001,10,800010
36,goog,jp.wonderplanet.crashfever.subscription001,11,800011
37,goog,jp.wonderplanet.crashfever.subscription001,12,800012
38,goog,jp.wonderplanet.crashfever.subscription001,13,800013
39,goog,jp.wonderplanet.crashfever.subscription001,14,800014
40,goog,jp.wonderplanet.crashfever.subscription001,15,800015
41,goog,jp.wonderplanet.crashfever.subscription001,16,800016
42,goog,jp.wonderplanet.crashfever.subscription001,17,800017
43,goog,jp.wonderplanet.crashfever.subscription001,18,800018
44,goog,jp.wonderplanet.crashfever.subscription001,19,800019
45,goog,jp.wonderplanet.crashfever.subscription001,20,800020
46,goog,jp.wonderplanet.crashfever.subscription001,21,800021
47,goog,jp.wonderplanet.crashfever.subscription001,22,800022
48,goog,jp.wonderplanet.crashfever.subscription001,23,800023
49,goog,jp.wonderplanet.crashfever.subscription001,24,800024
50,goog,jp.wonderplanet.crashfever.subscription001,25,800025
