daily_login_purchase_bonus_id,language,image_filename
1,ja,flat_rate_polygon_200.png
2,ja,flat_rate_polygon_25.png
3,ja,flat_rate_polygon_25.png
4,ja,flat_rate_polygon_25.png
5,ja,flat_rate_polygon_25.png
6,ja,flat_rate_polygon_25.png
7,ja,flat_rate_polygon_25.png
8,ja,flat_rate_polygon_25.png
9,ja,flat_rate_polygon_25.png
10,ja,flat_rate_polygon_25.png
11,ja,flat_rate_polygon_25.png
12,ja,flat_rate_polygon_25.png
13,ja,flat_rate_polygon_25.png
14,ja,flat_rate_polygon_25.png
15,ja,flat_rate_polygon_25.png
16,ja,flat_rate_polygon_25.png
17,ja,flat_rate_polygon_25.png
18,ja,flat_rate_polygon_25.png
19,ja,flat_rate_polygon_25.png
20,ja,flat_rate_polygon_25.png
21,ja,flat_rate_polygon_25.png
22,ja,flat_rate_polygon_25.png
23,ja,flat_rate_polygon_25.png
24,ja,flat_rate_polygon_25.png
25,ja,flat_rate_polygon_200.png
26,ja,flat_rate_polygon_200.png
27,ja,flat_rate_polygon_25.png
28,ja,flat_rate_polygon_25.png
29,ja,flat_rate_polygon_25.png
30,ja,flat_rate_polygon_25.png
31,ja,flat_rate_polygon_25.png
32,ja,flat_rate_polygon_25.png
33,ja,flat_rate_polygon_25.png
34,ja,flat_rate_polygon_25.png
35,ja,flat_rate_polygon_25.png
36,ja,flat_rate_polygon_25.png
37,ja,flat_rate_polygon_25.png
38,ja,flat_rate_polygon_25.png
39,ja,flat_rate_polygon_25.png
40,ja,flat_rate_polygon_25.png
41,ja,flat_rate_polygon_25.png
42,ja,flat_rate_polygon_25.png
43,ja,flat_rate_polygon_25.png
44,ja,flat_rate_polygon_25.png
45,ja,flat_rate_polygon_25.png
46,ja,flat_rate_polygon_25.png
47,ja,flat_rate_polygon_25.png
48,ja,flat_rate_polygon_25.png
49,ja,flat_rate_polygon_25.png
50,ja,flat_rate_polygon_200.png
