level,base_hp,base_attack,base_defense,reward_bits_rate,reward_exp_rate
1,1000,1000,1,0.5,1
2,1400,1200,31,0.5,1.03
3,1800,1400,61,0.51,1.06
4,2200,1600,91,0.51,1.09
5,2600,1800,121,0.52,1.12
6,3000,2000,151,0.52,1.15
7,3400,2200,181,0.53,1.2
8,3800,2400,211,0.53,1.25
9,4200,2600,241,0.54,1.3
10,4600,2800,271,0.54,1.35
11,5000,3000,301,0.55,1.45
12,5400,3200,331,0.55,1.55
13,5800,3400,361,0.56,1.6
14,6200,3600,391,0.56,1.65
15,6600,3800,421,0.57,1.7
16,7000,4000,451,0.57,1.75
17,7400,4200,481,0.58,1.8
18,7800,4400,511,0.58,1.85
19,8200,4600,541,0.59,1.9
20,8600,4800,571,0.59,1.95
21,9000,5000,601,0.6,2
22,9400,5200,631,0.6,2.1
23,9800,5400,661,0.61,2.2
24,10200,5600,691,0.61,2.3
25,10600,5800,721,0.62,2.4
26,11000,6000,751,0.62,2.5
27,11400,6200,781,0.63,2.6
28,11800,6400,811,0.63,2.7
29,12200,6600,841,0.64,2.8
30,12600,6800,871,0.64,2.9
31,13000,7000,901,0.65,3
32,13400,7200,931,0.65,3.1
33,13800,7400,961,0.66,3.2
34,14200,7600,991,0.66,3.3
35,14600,7800,1021,0.67,3.4
36,15000,8000,1051,0.67,3.5
37,15400,8200,1081,0.68,3.6
38,15800,8400,1111,0.68,3.7
39,16200,8600,1141,0.69,3.8
40,16600,8800,1171,0.69,3.9
41,17000,9000,1201,0.7,4.1
42,17400,9200,1231,0.7,4.2
43,17800,9400,1261,0.71,4.3
44,18200,9600,1291,0.71,4.4
45,18600,9800,1321,0.72,4.5
46,19000,10000,1351,0.72,4.6
47,19400,10200,1381,0.73,4.7
48,19800,10400,1411,0.73,4.8
49,20200,10600,1441,0.74,4.9
50,20600,10800,1471,0.74,5
51,21000,11000,1501,0.75,5.1
52,21400,11200,1531,0.75,5.2
53,21800,11400,1561,0.76,5.3
54,22200,11600,1591,0.76,5.4
55,22600,11800,1621,0.77,5.5
56,23000,12000,1651,0.77,5.6
57,23400,12200,1681,0.78,5.7
58,23800,12400,1711,0.78,5.8
59,24200,12600,1741,0.79,5.9
60,24600,12800,1771,0.8,6
61,25000,13000,1801,0.8,6.1
62,25400,13200,1831,0.81,6.2
63,25800,13400,1861,0.81,6.3
64,26200,13600,1891,0.82,6.4
65,26600,13800,1921,0.82,6.5
66,27000,14000,1951,0.83,6.6
67,27400,14200,1981,0.83,6.7
68,27800,14400,2011,0.84,6.8
69,28200,14600,2041,0.84,6.9
70,28600,14800,2071,0.85,7
71,29000,15000,2101,0.85,7.1
72,29400,15200,2131,0.86,7.2
73,29800,15400,2161,0.86,7.3
74,30200,15600,2191,0.87,7.4
75,30600,15800,2221,0.87,7.5
76,31000,16000,2251,0.88,7.6
77,31400,16200,2281,0.88,7.7
78,31800,16400,2311,0.89,7.8
79,32200,16600,2341,0.89,7.9
80,32600,16800,2371,0.9,8
81,33000,17000,2401,0.9,8.1
82,33400,17200,2431,0.91,8.2
83,33800,17400,2461,0.91,8.3
84,34200,17600,2491,0.92,8.4
85,34600,17800,2521,0.92,8.5
86,35000,18000,2551,0.93,8.6
87,35400,18200,2581,0.93,8.7
88,35800,18400,2611,0.94,8.8
89,36200,18600,2641,0.94,8.9
90,36600,18800,2671,0.95,9
91,37000,19000,2701,0.95,9.1
92,37400,19200,2731,0.96,9.2
93,37800,19400,2761,0.96,9.3
94,38200,19600,2791,0.97,9.4
95,38600,19800,2821,0.97,9.5
96,39000,20000,2851,0.98,9.6
97,39400,20200,2881,0.98,9.7
98,39800,20400,2911,0.99,9.8
99,40200,20600,2941,0.99,9.9
100,40600,20800,2971,1,10
