character_id,min_hp,min_attack,min_defense,max_hp,max_attack,max_defense,base_reward_bits,base_reward_exp,skip,level_test
1,500,101,0,20300,4090,0,340,0,0,NULL
2,500,112,0,20300,4544,0,340,0,0,NULL
3,510,110,0,20706,4476,0,340,0,0,NULL
4,510,110,0,20706,4476,0,340,0,0,NULL
5,400,115,0,16240,4655,0,340,0,0,NULL
6,400,115,0,16240,4655,0,340,0,0,NULL
7,490,151,0,19894,6136,0,340,0,0,NULL
8,490,151,0,19894,6136,0,340,0,0,NULL
9,500,168,0,20300,6816,0,480,0,0,NULL
10,500,168,0,20300,6816,0,480,0,0,NULL
11,408,126,0,16565,5121,0,480,0,0,NULL
12,408,126,0,16565,5121,0,480,0,0,NULL
13,490,166,0,19894,6749,0,480,0,0,NULL
14,490,166,0,19894,6749,0,480,0,0,NULL
15,470,151,0,19082,6150,0,400,0,0,NULL
16,470,151,0,19082,6150,0,400,0,0,NULL
17,470,109,0,19082,4431,0,400,0,0,NULL
18,470,109,0,19082,4431,0,400,0,0,NULL
19,461,150,0,18700,6089,0,400,0,0,NULL
20,461,150,0,18700,6089,0,400,0,0,NULL
21,834,107,0,33850,4356,0,540,0,0,NULL
22,834,107,0,33850,4356,0,540,0,0,NULL
23,740,165,0,30024,6696,0,480,0,0,NULL
24,740,165,0,30024,6696,0,480,0,0,NULL
25,725,137,0,29435,5580,0,480,0,0,NULL
26,725,137,0,29435,5580,0,480,0,0,NULL
27,408,63,0,16565,2560,0,520,0,0,NULL
28,408,63,0,16565,2560,0,520,0,0,NULL
29,400,86,0,16240,3491,0,520,0,0,NULL
30,400,86,0,16240,3491,0,520,0,0,NULL
31,441,102,0,17905,4152,0,520,0,0,NULL
32,441,205,0,17905,8304,0,520,0,0,NULL
33,500,168,0,20300,6816,0,480,0,0,NULL
34,1650,282,0,66990,11451,0,480,0,0,NULL
35,459,159,0,18635,6446,0,520,0,0,NULL
36,1515,667,0,61497,27072,0,520,0,0,NULL
37,500,162,0,20300,6565,0,480,0,0,NULL
38,1650,272,0,66990,11029,0,480,0,0,NULL
39,461,150,0,18700,6089,0,400,0,0,NULL
40,1520,252,0,61711,10230,0,400,0,0,NULL
41,575,123,0,23345,4998,0,540,0,0,NULL
42,1898,207,0,77039,8397,0,540,0,0,NULL
43,528,109,0,21431,4431,0,540,0,0,NULL
44,1742,183,0,70721,7445,0,540,0,0,NULL
45,725,137,0,29435,5580,0,480,0,0,NULL
46,2393,231,0,97136,9375,0,480,0,0,NULL
47,490,122,0,19894,4949,0,480,0,0,NULL
48,1617,205,0,65650,8315,0,480,0,0,NULL
49,682,97,0,27669,3920,0,400,0,0,NULL
50,2249,162,0,91307,6586,0,400,0,0,NULL
51,479,145,0,19464,5894,0,400,0,0,NULL
52,1582,244,0,64230,9901,0,400,0,0,NULL
53,470,109,0,19082,4431,0,400,0,0,NULL
54,1551,183,0,62971,7445,0,400,0,0,NULL
55,461,180,0,18700,7307,0,400,0,0,NULL
56,1520,302,0,61711,12276,0,400,0,0,NULL
57,500,126,0,20300,5125,0,480,0,0,NULL
58,1650,212,0,66990,8610,0,480,0,0,NULL
59,408,95,0,16565,3841,0,480,0,0,NULL
60,1346,159,0,54664,6452,0,480,0,0,NULL
61,400,95,0,16240,3841,0,480,0,0,NULL
62,1320,159,0,53592,6452,0,480,0,0,NULL
63,441,112,0,17905,4567,0,480,0,0,NULL
64,1455,139,0,59085,5627,0,480,0,0,NULL
65,500,168,0,20300,6816,0,480,0,0,NULL
