quest_id,image_filename,stage_sort,priority,tab_no
10008,quest10008.png,desc,1201,0
10010,quest10010.png,desc,1202,0
10015,quest10015.png,desc,1203,0
10020,quest10020.png,desc,1204,0
10025,quest10025.png,desc,1205,0
10030,quest10030.png,desc,1206,0
10035,quest10035.png,desc,1207,0
10040,quest10040.png,desc,1208,0
10045,quest10045.png,desc,1209,0
10050,quest10050.png,desc,1210,0
10055,quest10055.png,desc,1211,0
10060,quest10060.png,desc,1212,0
10065,NULL,desc,1213,0
10090,NULL,desc,1214,0
10100,NULL,desc,1215,0
12001,quest12001.png,desc,9001,0
12002,quest12002_1.png,desc,9002,0
12003,quest11210.png,desc,9003,0
12004,quest12004.png,desc,9004,0
13001,quest13001_26.png,desc,1001,2
13302,quest13300.png,desc,30766,2
13301,quest13300.png,desc,30766,2
13300,quest13300.png,desc,30766,2
13400,quest13400.png,desc,30766,2
13101,quest13101.png,desc,32766,2
20001,quest20001_1.png,desc,3001,0
20002,quest20002_4.png,desc,3003,0
20003,quest20003_3.png,desc,3005,0
20004,quest20004_3.png,desc,3007,0
20005,quest20005_1.png,desc,3011,0
20006,quest20006_1.png,desc,3013,0
20007,quest20007_1.png,desc,3009,0
20008,quest20008_1.png,desc,3015,0
20009,quest20009_2.png,desc,3017,0
20010,quest20010_1.png,desc,3019,0
20011,quest20011_1.png,desc,3021,0
20012,quest20012_2.png,desc,3023,0
20013,quest20013.png,desc,3024,0
20014,quest20014.png,desc,3025,0
20015,quest20015.png,desc,3026,0
20016,quest20016.png,desc,3027,0
20017,quest20017.png,desc,3028,0
20018,quest20018.png,desc,3029,0
20019,quest20019.png,desc,3030,0
20020,quest20020.png,desc,3031,0
20021,quest20021.png,desc,3032,0
20022,quest11216.png,desc,3033,2
30001,quest30001_4.png,desc,2002,0
30002,quest30002_3.png,desc,2004,0
30003,quest30003_3.png,desc,2006,0
30004,quest30004_3.png,desc,2008,0
30005,quest30005_1.png,desc,2010,0
30006,quest30006_2.png,desc,2016,0
30007,quest30007_1.png,desc,2012,0
30008,quest30008_2.png,desc,2014,0
30009,quest30009_1.png,desc,2018,0
30010,quest30010_1.png,desc,2020,0
30011,quest30011_1.png,desc,2022,0
30012,quest30012_1.png,desc,2024,0
30013,quest30013_2.png,desc,2025,0
30014,quest30014.png,desc,2026,0
30015,quest30015_2.png,desc,2027,0
30016,quest30016.png,desc,2028,0
30017,quest30017.png,desc,2029,0
30018,quest30018.png,desc,2030,0
30019,quest30019.png,desc,2031,0
30020,quest30020.png,desc,2032,0
30021,quest30021.png,desc,2032,0
30022,quest30022.png,desc,2033,0
30023,quest30023.png,desc,2033,0
30024,quest30024.png,desc,2034,0
30025,quest30025.png,desc,2035,0
30026,quest30026.png,desc,2036,0
30027,quest30027.png,desc,2037,0
30028,quest30028.png,desc,2038,0
30029,quest30029.png,desc,2039,0
30030,quest30030.png,desc,2040,0
30031,quest30031.png,desc,2041,0
30032,quest30032.png,desc,2042,0
30033,quest30033.png,desc,2043,0
30034,quest30034.png,desc,2044,0
30035,quest30035.png,desc,2045,0
30036,quest30036.png,desc,2046,0
30037,quest30037.png,desc,2047,0
30038,quest30038.png,desc,2048,0
30039,quest30039.png,desc,2049,0
30040,quest30040.png,desc,2050,0
30041,quest30041.png,desc,2051,0
30042,quest30042.png,desc,2052,0
30043,quest30043.png,desc,3043,0
30044,quest30044.png,desc,3044,0
30045,quest30045.png,desc,3045,0
30046,quest30046.png,desc,3046,0
30047,quest30047.png,desc,3047,0
30048,quest30048.png,desc,3048,0
30049,quest30049.png,desc,3049,0
30050,quest30050.png,desc,3050,0
38101,quest38101.png,desc,3811,2
39001,quest39001.png,desc,1,2
39002,quest39002_2.png,desc,32766,2
39003,quest39003.png,desc,32766,2
39004,quest39004.png,desc,32767,2
39006,quest39006.png,desc,32769,2
39008,quest39001.png,desc,32770,2
39009,quest39009.png,desc,32770,2
39010,quest39002_2.png,desc,32766,2
39011,quest39003.png,desc,32766,2
39012,quest39012.png,desc,32771,2
39013,quest39013.png,desc,32772,2
39014,quest39014.png,desc,32773,2
40001,quest40001_3.png,desc,4001,1
40002,quest40002_3.png,desc,4002,1
40003,quest40003_3.png,desc,4003,1
40004,quest40004.png,desc,4004,1
40005,quest40005.png,desc,4005,1
40006,quest40006.png,desc,4006,1
40007,quest40007.png,desc,4007,1
40008,quest40008.png,desc,4008,1
40009,quest40009.png,desc,4009,1
40010,quest40010.png,desc,4010,1
40011,quest40011.png,desc,4011,1
40012,quest40012.png,desc,4012,1
40013,quest40013.png,desc,4013,1
40014,quest40014.png,desc,4014,1
40015,quest40015.png,desc,4015,1
40016,quest40016.png,desc,4016,1
40017,quest40017.png,desc,4017,1
40018,quest40018.png,desc,4018,1
40019,quest40019.png,desc,4019,1
40021,quest40021.png,desc,4021,1
40022,quest40022.png,desc,4022,1
40023,quest40023.png,desc,4023,1
40024,quest40024.png,desc,4024,1
40025,quest40025.png,desc,4025,1
40026,quest40026.png,desc,4026,1
40027,quest40027.png,desc,4027,1
40028,quest40028.png,desc,4028,1
40029,quest40029.png,desc,4029,1
40030,quest40030.png,desc,4030,1
40031,quest40031.png,desc,4031,1
40032,quest40032.png,desc,4032,1
40033,quest40033.png,desc,4033,1
40034,quest40034.png,desc,4034,1
40035,quest40035.png,desc,4035,1
40036,quest40036.png,desc,4036,1
40037,quest40037.png,desc,4037,1
40038,quest40038.png,desc,4038,1
40039,quest40039.png,desc,4039,1
40040,quest40040.png,desc,4040,1
40041,quest40041.png,desc,4041,1
40042,quest40042.png,desc,4042,1
40043,quest40043.png,desc,4043,1
40044,quest40044.png,desc,4044,1
40045,quest40045.png,desc,4045,1
40046,quest40046.png,desc,4046,1
41001,quest41001.png,desc,4001,1
41002,quest41002.png,desc,4002,1
41003,quest41003.png,desc,4003,1
