gacha_element_id,gacha_pattern,draw_time,draw_count,use_item,draw_cost,select_table_no,bonus_table_no,settle_table_no,settle_count,unsettle_rarity,memo,campaign_image
0,1,1,1,polygon,5,4,null,null,0,null,null,null
0,1,0,1,polygon,5,3,null,null,0,null,null,null
0,10,0,10,polygon,50,4,null,null,0,null,null,null
1,1,1,1,polygon,5,14,null,null,0,null,null,null
1,1,0,1,polygon,5,13,null,null,0,null,null,null
1,10,0,10,polygon,50,14,null,15,1,null,null,null
2,1,1,1,polygon,5,24,null,null,0,null,null,null
2,1,0,1,polygon,5,23,null,null,0,null,null,null
2,10,0,10,polygon,50,24,null,null,0,null,null,null
2,10,3,10,polygon,50,24,2,null,0,null,null,null
2,10,6,10,polygon,50,24,2,null,0,null,null,null
2,10,9,10,polygon,50,24,2,null,0,null,null,null
2,10,12,10,polygon,50,24,2,null,0,null,null,null
2,10,15,10,polygon,50,24,2,null,0,null,null,null
2,10,18,10,polygon,50,24,2,null,0,null,null,null
2,10,21,10,polygon,50,24,2,null,0,null,null,null
2,10,24,10,polygon,50,24,2,null,0,null,null,null
2,10,27,10,polygon,50,24,2,null,0,null,null,null
2,10,30,10,polygon,50,24,2,null,0,null,null,null
3,1,1,1,polygon,5,34,null,null,0,null,null,null
3,1,0,1,polygon,5,33,null,null,0,null,null,null
3,10,0,10,polygon,50,34,null,null,0,null,null,null
3,10,1,10,polygon,30,34,null,null,0,null,null,null
4,10,1,10,polygon,1,1641,null,null,0,null,null,tit_single.png
4,10,2,10,polygon,2,1640,null,null,0,null,null,tit_10ren.png
4,10,3,10,polygon,3,1640,null,null,0,null,null,tit_10ren_otoshidama.png
4,10,4,10,polygon,4,1640,null,null,0,null,null,tit_10ren_toughness.png
4,10,5,10,polygon,5,1640,null,null,0,null,null,tit_10ren_bonus.png
4,10,6,10,polygon,6,1640,null,null,0,null,null,tit_10ren_settle_new.png
4,10,7,10,polygon,7,1640,null,null,0,null,null,tit_10ren_settle_pick.png
4,10,8,10,polygon,8,1640,null,null,0,null,null,tit_10ren_fukubukuro.png
4,10,0,5,polygon,10,1640,null,null,0,null,null,tit_10ren_r5dragon.png
5,1,0,1,ticket_bonze,1,1970,null,null,0,null,null,null
6,1,0,1,ticket_normal,3,1970,null,null,0,null,null,null
100,1,0,1,polygon,5,100,null,null,0,null,null,null
100,10,0,10,polygon,50,100,null,null,0,null,null,null
102,1,0,1,polygon,5,3,null,null,0,null,null,null
103,1,0,1,polygon,5,3,null,null,0,null,null,null
104,1,0,1,polygon,5,3,null,null,0,null,null,null
105,1,0,1,polygon,5,3,null,null,0,null,null,null
106,1,0,1,polygon,5,3,null,null,0,null,null,null
107,1,0,1,polygon,5,3,null,null,0,null,null,null
108,1,0,1,polygon,5,3,null,null,0,null,null,null
109,1,0,1,polygon,5,3,null,null,0,null,null,null
110,1,0,1,polygon,5,3,null,null,0,null,null,null
111,1,0,1,polygon,5,3,null,null,0,null,null,null
112,1,0,1,polygon,5,3,null,null,0,null,null,null
113,1,0,1,polygon,5,3,null,null,0,null,null,null
114,1,0,1,polygon,5,3,null,null,0,null,null,null
115,1,0,1,polygon,5,3,null,null,0,null,null,null
116,1,0,1,polygon,5,3,null,null,0,null,null,null
117,1,0,1,polygon,5,3,null,null,0,null,null,null
118,1,0,1,polygon,5,3,null,null,0,null,null,null
119,1,0,1,polygon,5,3,null,null,0,null,null,null
120,1,0,1,polygon,5,3,null,null,0,null,null,null
120,1,1,1,polygon,5,3,null,null,0,null,null,null
120,10,0,10,polygon,50,3,null,null,0,null,null,null
121,1,1,1,polygon,5,4,null,null,0,null,null,null
121,1,0,1,polygon,5,3,null,null,0,null,null,null
121,10,0,10,polygon,50,4,null,null,0,null,null,null
122,1,0,1,polygon,5,3,null,null,0,null,null,null
123,1,0,1,polygon,5,3,null,null,0,null,null,null
124,1,0,1,polygon,5,3,null,null,0,null,null,null
124,1,1,1,polygon,5,3,null,null,0,null,null,null
124,10,0,10,polygon,50,3,null,null,0,null,null,null
125,1,0,1,polygon,5,3,null,null,0,null,null,null
125,1,1,1,polygon,5,4,null,null,0,null,null,null
125,10,0,10,polygon,50,4,null,null,0,null,null,null
126,1,0,1,polygon,5,3,null,null,0,null,null,null
126,1,1,1,polygon,5,4,null,null,0,null,null,null
126,10,0,10,polygon,50,4,null,null,0,null,null,null
127,1,0,1,polygon,5,3,null,null,0,null,null,null
127,1,1,1,polygon,5,4,null,null,0,null,null,null
127,10,0,10,polygon,50,4,null,null,0,null,null,null
128,1,0,1,polygon,5,3,null,null,0,null,null,null
128,1,1,1,polygon,5,4,null,null,0,null,null,null
128,10,0,10,polygon,50,4,null,null,0,null,null,null
129,1,0,1,polygon,5,3,null,null,0,null,null,null
129,1,1,1,polygon,5,4,null,null,0,null,null,null
