gacha_element_id,gacha_pattern,draw_time,language,campaign_image
0,1,1,ja,null
0,1,0,ja,null
0,10,0,ja,null
1,1,1,ja,null
1,1,0,ja,null
1,10,0,ja,null
2,1,1,ja,null
2,1,0,ja,null
2,10,0,ja,null
2,10,3,ja,null
2,10,6,ja,null
2,10,9,ja,null
2,10,12,ja,null
2,10,15,ja,null
2,10,18,ja,null
2,10,21,ja,null
2,10,24,ja,null
2,10,27,ja,null
2,10,30,ja,null
3,1,1,ja,null
3,1,0,ja,null
3,10,0,ja,null
3,10,1,ja,null
4,10,1,ja,tit_single.png
4,10,2,ja,tit_10ren.png
4,10,3,ja,tit_10ren_otoshidama.png
4,10,4,ja,tit_10ren_toughness.png
4,10,5,ja,tit_10ren_bonus.png
4,10,6,ja,tit_10ren_settle_new.png
4,10,7,ja,tit_10ren_settle_pick.png
4,10,8,ja,tit_10ren_fukubukuro.png
4,10,0,ja,tit_10ren_r5dragon.png
5,1,0,ja,null
6,1,0,ja,null
100,1,0,ja,null
100,10,0,ja,null
102,1,0,ja,null
103,1,0,ja,null
104,1,0,ja,null
105,1,0,ja,null
106,1,0,ja,null
107,1,0,ja,null
108,1,0,ja,null
109,1,0,ja,null
110,1,0,ja,null
111,1,0,ja,null
112,1,0,ja,null
113,1,0,ja,null
114,1,0,ja,null
115,1,0,ja,null
116,1,0,ja,null
117,1,0,ja,null
118,1,0,ja,null
119,1,0,ja,null
120,1,0,ja,null
120,1,1,ja,null
120,10,0,ja,null
121,1,1,ja,null
121,1,0,ja,null
121,10,0,ja,null
122,1,0,ja,null
123,1,0,ja,null
124,1,0,ja,null
124,1,1,ja,null
124,10,0,ja,null
125,1,0,ja,null
125,1,1,ja,null
125,10,0,ja,null
126,1,0,ja,null
126,1,1,ja,null
126,10,0,ja,null
127,1,0,ja,null
127,1,1,ja,null
127,10,0,ja,null
128,1,0,ja,null
128,1,1,ja,null
128,10,0,ja,null
129,1,0,ja,null
129,1,1,ja,null
129,10,0,ja,null
130,1,0,ja,null
130,1,1,ja,null
130,10,0,ja,null
131,1,0,ja,null
131,1,1,ja,null
131,10,0,ja,null
132,1,0,ja,null
132,1,1,ja,null
132,10,0,ja,null
133,1,0,ja,null
133,1,1,ja,null
133,10,0,ja,null
134,1,0,ja,null
134,1,1,ja,null
134,10,0,ja,null
135,1,0,ja,null
135,1,1,ja,null
135,10,0,ja,null
136,1,0,ja,null
136,1,1,ja,tit_single.png
136,10,0,ja,tit_10ren.png
138,1,0,ja,null
138,1,1,ja,tit_single.png
138,10,0,ja,tit_10ren.png
140,1,0,ja,null
140,1,1,ja,tit_single.png
140,10,0,ja,tit_10ren.png
142,1,0,ja,null
