item_id,language,item_name,image_filename
1,ja,マスターキー,key_master.png
2,ja,経験値キー,key_exp.png
3,ja,ビットキー,key_bit.png
4,ja,限界突破キー,key_ltb.png
5,ja,ソロ限定マスターキー,key_master_solo.png
6,ja,ソロ限定経験値キー,key_exp_solo.png
7,ja,ソロ限定ビットキー,key_bit_solo.png
8,ja,ソロ限定限界突破キー,key_ltb_solo.png
9,ja,LINE限定マスターキー,key_master_line.png
10,ja,LINE限定経験値キー,key_exp_line.png
11,ja,LINE限定ビットキー,key_bit_line.png
12,ja,LINE限定限界突破キー,key_ltb_line.png
100,ja,★5一体確定5連チケット,ticket_beginner.png
101,ja,★6覚醒1体確定5連チケット,ticket_middle.png
102,ja,★6覚醒1体確定チケット,ticket_other.png
103,ja,★6確定ガチャチケット,ticket_beginner_r6.png
104,ja,★5赤属性ガチャチケット,ticket_beginner_red.png
105,ja,★5緑属性ガチャチケット,ticket_beginner_green.png
106,ja,★5青属性ガチャチケット,ticket_beginner_blue.png
107,ja,★5黄属性ガチャチケット,ticket_beginner_yellow.png
108,ja,高評価選抜ガチャチケット,ticket_middle_01.png
109,ja,カムバックガチャチケット,ticket_comeback.png
110,ja,コスト53確定ガチャチケット,ticket_hanamiPack.png
111,ja,高評価選抜ガチャチケット,ticket_middle_01.png
500,ja,★6覚醒可能ユニット50%チケット,ticket_R6_50p_2.png
600,ja,刀のチケットピース,ticket_piece.png
601,ja,刀のランキングガチャチケット,ticket_1604.png
602,ja,刀のランキングガチャチケット,ticket_1604.png
603,ja,槍のチケットピース,ticket_piece.png
604,ja,槍のランキングガチャチケット,ticket_1607.png
605,ja,杖のランキングガチャチケット,ticket_1611.png
606,ja,杖のチケットピース,ticket_piece.png
700,ja,スイカチケット,ticket_suika.png
701,ja,お菓子チケット,ticket_okashi.png
702,ja,ウィンターチケット,ticket_winter.png
703,ja,ホワイトデーチケット,ticket_whiteday.png
704,ja,にゃんこワクワクチケット,ticket_nyanko.png
705,ja,桜の花びら,ticket_sakura.png
706,ja,レッドブーケ,ticket_red_bouquet.png
707,ja,グリーンブーケ,ticket_green_bouquet.png
708,ja,ジューンブライドチケット,ticket_juneBride.png
900,ja,アイテム１,item100.png
901,ja,アイテム２,item101.png
902,ja,アイテム３,item102.png
903,ja,アイテム４,item103.png
904,ja,アイテム５,item104.png
905,ja,超厳選ガチャチケット,ticket_hyperlimited_1609.png
906,ja,★6覚醒可能ユニットチケット,ico_r6omake_100px.png
907,ja,700万DL記念ガチャチケット,ticket_7million.png
908,ja,30日達成スペシャルチケット,30day_sp_ticket.png
909,ja,ハッピーチケットピース,ticket_piece_happy.png
910,ja,コラボ限定ガチャチケット,ticket_collabo_hagane.png
911,ja,記念チケットLv1,ticket_8million_level1.png
912,ja,記念チケットLv2,ticket_8million_level2.png
913,ja,記念チケットLv3,ticket_8million_level3.png
914,ja,★6確定記念チケット,ticket_8million_sp.png
