achievement_criterion_id,achievement_criterion_type,achievement_criterion_value,achievement_criterion_count,next_id
Q0001,specific_quest_clear,1-3,NULL,NULL
Q0002,specific_quest_clear,2-3,NULL,NULL
Q0003,specific_quest_clear,3-3,NULL,NULL
Q0004,specific_quest_clear,4-3,NULL,NULL
Q0005,specific_quest_clear,5-3,NULL,NULL
Q0006,specific_quest_clear,6-5,NULL,NULL
Q0007,specific_quest_clear,7-5,NULL,NULL
Q0008,specific_quest_clear,8-5,NULL,NULL
Q0009,specific_quest_clear,9-5,NULL,NULL
Q0010,specific_quest_clear,10-5,NULL,NULL
Q0011,specific_quest_clear,11-5,NULL,NULL
Q0012,specific_quest_clear,12-5,NULL,NULL
Q0013,specific_quest_clear,13-5,NULL,NULL
Q0014,specific_quest_clear,14-5,NULL,NULL
Q0015,specific_quest_clear,15-5,NULL,NULL
Q0016,specific_quest_clear,16-5,NULL,NULL
Q0017,specific_quest_clear,17-5,NULL,NULL
Q0018,specific_quest_clear,18-5,NULL,NULL
Q0019,specific_quest_clear,19-5,NULL,NULL
Q0020,specific_quest_clear,20-5,NULL,NULL
Q0021,specific_quest_clear,21-5,NULL,NULL
Q0022,specific_quest_clear,22-5,NULL,NULL
Q0023,specific_quest_clear,23-5,NULL,NULL
Q0024,specific_quest_clear,24-5,NULL,NULL
Q0025,specific_quest_clear,25-5,NULL,NULL
Q0026,specific_quest_clear,26-5,NULL,NULL
Q9024,specific_quest_clear,24-3,NULL,NULL
Q9025,specific_quest_clear,25-3,NULL,NULL
Q9026,specific_quest_clear,26-3,NULL,NULL
Q9027,specific_quest_clear,15027-3,NULL,NULL
Q9028,specific_quest_clear,15028-3,NULL,NULL
Q9029,specific_quest_clear,15029-3,NULL,NULL
Q9030,specific_quest_clear,15030-3,NULL,NULL
Q9031,specific_quest_clear,15031-3,NULL,NULL
Q9032,specific_unit_aquired_count,1043,1,NULL
Q9033,specific_unit_aquired_count,1043,10,NULL
Q9034,specific_unit_aquired_count,1043,25,NULL
Q9035,specific_unit_aquired_count,1043,50,NULL
Q9036,specific_unit_aquired_count,1053,1,NULL
Q9037,specific_unit_aquired_count,1053,10,NULL
Q9038,specific_unit_aquired_count,1053,25,NULL
Q9039,specific_unit_aquired_count,1053,50,NULL
RQ001,specific_quest_clear,10008-1,NULL,NULL
RQ002,specific_quest_clear,10010-1,NULL,NULL
RQ003,specific_quest_clear,10015-1,NULL,NULL
RQ004,specific_quest_clear,10020-1,NULL,NULL
RQ005,specific_quest_clear,10025-1,NULL,NULL
RQ006,specific_quest_clear,10030-1,NULL,NULL
RQ007,specific_quest_clear,10035-1,NULL,NULL
RQ008,specific_quest_clear,10040-1,NULL,NULL
RQ009,specific_quest_clear,10045-1,NULL,NULL
RQ010,specific_quest_clear,10050-1,NULL,NULL
RQ011,specific_quest_clear,10055-1,NULL,NULL
RQ012,specific_quest_clear,10060-1,NULL,NULL
QTOW1,specific_quest_clear,13300-1,NULL,NULL
QTOW2,specific_quest_clear,13300-1,NULL,NULL
QTOW3,specific_quest_clear,13301-1,NULL,NULL
QTOW4,specific_quest_clear,13302-1,NULL,NULL
QTOW5,specific_quest_clear,13302-1,NULL,NULL
QTOW6,specific_quest_clear,13302-1,NULL,NULL
QTOW7,specific_quest_clear,13400-1,1,NULL
QTOW8,specific_quest_clear,13302-1,1,NULL
CQ0002,specific_quest_clear,39001-2,NULL,NULL
CQ0003,specific_quest_clear,39001-3,NULL,NULL
CQ0004,specific_quest_clear,39001-4,NULL,NULL
CQ0005,specific_quest_clear,39001-5,NULL,NULL
CQ0006,specific_quest_clear,49001-1,NULL,NULL
CQ0007,specific_quest_clear,11218-1,NULL,NULL
CQ0008,specific_quest_clear,39002-1,NULL,NULL
CQ0009,specific_quest_clear,39003-1,NULL,NULL
CQ0010,specific_quest_clear,39002-2,NULL,NULL
CQ0011,specific_quest_clear,39003-2,NULL,NULL
CQ0012,specific_quest_clear,39002-3,NULL,NULL
CQ0013,specific_quest_clear,39003-3,NULL,NULL
CQ0014,specific_quest_clear,39002-4,NULL,NULL
CQ0015,specific_quest_clear,39003-4,NULL,NULL
CQ0016,specific_quest_clear,49002-1,NULL,NULL
CQ0017,specific_quest_clear,49003-1,NULL,NULL
CQ0018,specific_quest_clear,39004-1,NULL,NULL
CQ0019,specific_quest_clear,39004-2,NULL,NULL
CQ0020,specific_quest_clear,39004-3,NULL,NULL
CQ0021,specific_quest_clear,39004-4,NULL,NULL
CQ0022,specific_quest_clear,49004-2,NULL,NULL
CQ0023,specific_quest_clear,11226-6,NULL,NULL
CQ0024,specific_quest_clear,39006-1,NULL,NULL
CQ0025,specific_quest_clear,39006-2,NULL,NULL
CQ0026,specific_quest_clear,39006-3,NULL,NULL
CQ0027,specific_quest_clear,39006-4,NULL,NULL
CQ0028,specific_quest_clear,49006-1,NULL,NULL
CQ0029,specific_quest_clear,49006-2,NULL,NULL
CQ0030,specific_quest_clear,11227-2,NULL,NULL
CQ0031,specific_quest_clear,60015-1,NULL,NULL
CQ0032,specific_quest_clear,60016-1,NULL,NULL
CQ0033,specific_quest_clear,60017-1,NULL,NULL
CQ0034,specific_quest_clear,60018-1,NULL,NULL
CQ0035,specific_quest_clear,60020-1,NULL,NULL
CQ0036,specific_quest_clear,60019-1,NULL,NULL
CQ0037,specific_quest_clear,47004-1,NULL,NULL
CQ0038,specific_quest_clear,47004-2,NULL,NULL
CQ0039,specific_quest_clear,47004-3,NULL,NULL
CQ0040,specific_quest_clear,47004-4,NULL,NULL
CQ0041,specific_unit_aquired_count,1284,10,NULL
CQ0042,specific_unit_aquired_count,1284,25,NULL
CQ0043,specific_unit_aquired_count,1284,50,NULL
CQ0044,specific_unit_aquired_count,1284,75,NULL
CQ0045,specific_unit_aquired_count,1284,85,NULL
CQ0046,specific_quest_clear,60025-1,NULL,NULL
CQ0047,specific_quest_clear,39010-1,NULL,NULL
CQ0048,specific_quest_clear,39011-1,NULL,NULL
CQ0049,specific_quest_clear,39010-2,NULL,NULL
CQ0050,specific_quest_clear,39011-2,NULL,NULL
CQ0051,specific_quest_clear,39010-3,NULL,NULL
CQ0052,specific_quest_clear,39011-3,NULL,NULL
CQ0053,specific_quest_clear,39010-4,NULL,NULL
CQ0054,specific_quest_clear,39011-4,NULL,NULL
CQ0055,specific_quest_clear,49012-1,NULL,NULL
CQ0056,specific_quest_clear,49013-1,NULL,NULL
CQ0057,specific_quest_clear,60027-1,NULL,NULL
CQ0058,specific_quest_clear,49013-1,NULL,NULL
CQ0059,specific_quest_clear,60026-1,NULL,NULL
CQ0060,specific_quest_clear,39008-1,NULL,NULL
CQ0061,specific_quest_clear,39008-2,NULL,NULL
CQ0062,specific_quest_clear,39008-3,NULL,NULL
CQ0063,specific_quest_clear,39008-4,NULL,NULL
CQ0064,specific_quest_clear,39008-5,NULL,NULL
CQ0065,specific_quest_clear,39009-1,NULL,NULL
CQ0066,specific_quest_clear,39009-2,NULL,NULL
CQ0067,specific_quest_clear,39009-3,NULL,NULL
CQ0068,specific_quest_clear,39009-4,NULL,NULL
CQ0069,specific_quest_clear,39009-5,NULL,NULL
CQ0070,specific_quest_clear,49008-1,NULL,NULL
CQ0071,specific_quest_clear,49009-1,NULL,NULL
CQ0072,specific_quest_clear,49010-1,NULL,NULL
CQ0073,specific_quest_clear,49011-1,NULL,NULL
CQ0074,specific_quest_clear,59001-1,NULL,NULL
