achievement_id,language,title,detail,message
U01077,ja,潜伏型メリッサ x 1,ミッション達成報酬,ミッション達成報酬で 【潜伏型メリッサ x 1】 をゲット！
U01079,ja,ハッピー100 x 1,ミッション達成報酬,ミッション達成報酬で 【ハッピー100 x 1】 をゲット！
U01081,ja,増幅型モリス x 1,ミッション達成報酬,ミッション達成報酬で 【増幅型モリス x 1】 をゲット！
U01083,ja,拡散性ニムダ x 1,ミッション達成報酬,ミッション達成報酬で 【拡散性ニムダ x 1】 をゲット！
U05551,ja,雪ミク2014 x 1,ミッション達成報酬,ミッション達成報酬で 【雪ミク2014 x 1】 をゲット！
U05531,ja,雪ミク2016 x 1,ミッション達成報酬,ミッション達成報酬で 【雪ミク2016 x 1】 をゲット！
U03331,ja,炎のメタルチック x 1,ミッション達成報酬,ミッション達成報酬で 【炎のメタルチック x 1】 をゲット！
U01171,ja,ゴールドピヨピヨ x 1,ミッション達成報酬,ミッション達成報酬で 【ゴールドピヨピヨ x 1】 をゲット！
U01181,ja,ゴールドチック x 1,ミッション達成報酬,ミッション達成報酬で 【ゴールドチック x 1】 をゲット！
U01191,ja,ゴールドダック x 1,ミッション達成報酬,ミッション達成報酬で 【ゴールドダック x 1】 をゲット！
U01193,ja,ゴールドダック x 3,ミッション達成報酬,ミッション達成報酬で 【ゴールドダック x 3】 をゲット！
U01201,ja,ゴールドキング x 1,ミッション達成報酬,ミッション達成報酬で 【ゴールドキング x 1】 をゲット！
U01211,ja,攻めの果実 x 1,ミッション達成報酬,ミッション達成報酬で 【攻めの果実 x 1】 をゲット！
U01213,ja,攻めの果実 x 3,ミッション達成報酬,ミッション達成報酬で 【攻めの果実 x 3】 をゲット！
U01221,ja,生命の果実 x 1,ミッション達成報酬,ミッション達成報酬で 【生命の果実 x 1】 をゲット！
U01223,ja,生命の果実 x 3,ミッション達成報酬,ミッション達成報酬で 【生命の果実 x 3】 をゲット！
U01231,ja,癒しの果実 x 1,ミッション達成報酬,ミッション達成報酬で 【癒しの果実 x 1】 をゲット！
U01233,ja,癒しの果実 x 3,ミッション達成報酬,ミッション達成報酬で 【癒しの果実 x 3】 をゲット！
U01241,ja,黄金の果実 x 1,ミッション達成報酬,ミッション達成報酬で 【黄金の果実 x 1】 をゲット！
U01243,ja,黄金の果実 x 3,ミッション達成報酬,ミッション達成報酬で 【黄金の果実 x 3】 をゲット！
U01251,ja,秘術の果実 x 1,ミッション達成報酬,ミッション達成報酬で 【秘術の果実 x 1】 をゲット！
U01253,ja,秘術の果実 x 3,ミッション達成報酬,ミッション達成報酬で 【秘術の果実 x 3】 をゲット！
U06072,ja,メガ攻めの果実 x 2,ミッション達成報酬,ミッション達成報酬で 【メガ攻めの果実 x 2】 をゲット！
U06082,ja,メガ生命の果実 x 2,ミッション達成報酬,ミッション達成報酬で 【メガ生命の果実 x 2】 をゲット！
U06092,ja,メガ癒しの果実 x 2,ミッション達成報酬,ミッション達成報酬で 【メガ癒しの果実 x 2】 をゲット！
U06101,ja,メガ秘術の果実 x 1,ミッション達成報酬,ミッション達成報酬で 【メガ秘術の果実 x 1】 をゲット！
U06102,ja,メガ秘術の果実 x 2,ミッション達成報酬,ミッション達成報酬で 【メガ秘術の果実 x 2】 をゲット！
U06111,ja,ギガ攻めの果実 x 1,ミッション達成報酬,ミッション達成報酬で 【ギガ攻めの果実 x 1】 をゲット！
U06112,ja,ギガ攻めの果実 x 2,ミッション達成報酬,ミッション達成報酬で 【ギガ攻めの果実 x 2】 をゲット！
U06113,ja,ギガ攻めの果実 x 3,ミッション達成報酬,ミッション達成報酬で 【ギガ攻めの果実 x 3】 をゲット！
U06121,ja,ギガ生命の果実 x 1,ミッション達成報酬,ミッション達成報酬で 【ギガ生命の果実 x 1】 をゲット！
U06122,ja,ギガ生命の果実 x 2,ミッション達成報酬,ミッション達成報酬で 【ギガ生命の果実 x 2】 をゲット！
U06123,ja,ギガ生命の果実 x 3,ミッション達成報酬,ミッション達成報酬で 【ギガ生命の果実 x 3】 をゲット！
U06131,ja,ギガ癒しの果実 x 1,ミッション達成報酬,ミッション達成報酬で 【ギガ癒しの果実 x 1】 をゲット！
U06132,ja,ギガ癒しの果実 x 2,ミッション達成報酬,ミッション達成報酬で 【ギガ癒しの果実 x 2】 をゲット！
U06133,ja,ギガ癒しの果実 x 3,ミッション達成報酬,ミッション達成報酬で 【ギガ癒しの果実 x 3】 をゲット！
U06141,ja,ギガ秘術の果実 x 1,ミッション達成報酬,ミッション達成報酬で 【ギガ秘術の果実 x 1】 をゲット！
U06142,ja,ギガ秘術の果実 x 2,ミッション達成報酬,ミッション達成報酬で 【ギガ秘術の果実 x 2】 をゲット！
U06143,ja,ギガ秘術の果実 x 3,ミッション達成報酬,ミッション達成報酬で 【ギガ秘術の果実 x 3】 をゲット！
U05711,ja,ハッピー バレンタイン x 1,ハッピー！,"セーラー服のハッピーがアナタのもとにやってきました！"
U08371,ja,リトルハンプティ x 1,ミッション達成報酬,ミッション達成報酬で 【リトルハンプティ x 1】 をゲット！
U08781,ja,イグニス x 1,ミッション達成報酬,ミッション達成報酬で 【イグニス x 1】 をゲット！
U10431,ja,彦星 x 1,ミッション達成報酬,ミッション達成報酬で 【彦星 x 1】 をゲット！
U10531,ja,常夏の眩獣 麒麟 x 1,ミッション達成報酬,ミッション達成報酬で 【常夏の眩獣 麒麟 x 1】 をゲット！
U11141,ja,ボナンザ x 1,ミッション達成報酬,ミッション達成報酬で 【ボナンザ x 1】 をゲット！
U06321,ja,緋壁の城塞 アーグラ x 1,ミッション達成報酬,ミッション達成報酬で 【緋壁の城塞 アーグラ x 1】 をゲット！
U06331,ja,麗邸の遊撃守 エリゼ x 1,ミッション達成報酬,ミッション達成報酬で 【麗邸の遊撃守 エリゼ x 1】 をゲット！
U15041,ja,ネコ x 1,ミッション達成報酬,ミッション達成報酬で 【ネコ x 1】 をゲット！
U15471,ja,ネコフラワー x 1,ミッション達成報酬,ミッション達成報酬で 【ネコフラワー x 1】 をゲット！
I00101,ja,マスターキー x 1,ミッション達成報酬,ミッション達成報酬で 【マスターキー x 1】 をゲット！
I00102,ja,マスターキー x 2,ミッション達成報酬,ミッション達成報酬で 【マスターキー x 2】 をゲット！
I00201,ja,経験値キー x 1,ミッション達成報酬,ミッション達成報酬で 【経験値キー x 1】 をゲット！
I00202,ja,経験値キー x 2,ミッション達成報酬,ミッション達成報酬で 【経験値キー x 2】 をゲット！
I00301,ja,ビットキー x 1,ミッション達成報酬,ミッション達成報酬で 【ビットキー x 1】 をゲット！
I00302,ja,ビットキー x 2,ミッション達成報酬,ミッション達成報酬で 【ビットキー x 2】 をゲット！
I00401,ja,限界突破キー x 1,ミッション達成報酬,ミッション達成報酬で 【限界突破キー x 1】 をゲット！
I00402,ja,限界突破キー x 2,ミッション達成報酬,ミッション達成報酬で 【限界突破キー x 2】 をゲット！
I70203,ja,ウィンターチケット x 3,ミッション達成報酬,ミッション達成報酬で 【ウィンターチケット x 3】 をゲット！
I70205,ja,ウィンターチケット x 5,ミッション達成報酬,ミッション達成報酬で 【ウィンターチケット x 5】 をゲット！
I70209,ja,ウィンターチケット x 9,ミッション達成報酬,ミッション達成報酬で 【ウィンターチケット x 9】 をゲット！
I70215,ja,ウィンターチケット x 15,ミッション達成報酬,ミッション達成報酬で 【ウィンターチケット x 15】 をゲット！
I70230,ja,ウィンターチケット x 30,ミッション達成報酬,ミッション達成報酬で 【ウィンターチケット x 30】 をゲット！
I70303,ja,ホワイトデーチケット x 3,ミッション達成報酬,ミッション達成報酬で 【ホワイトデーチケット x 3】 をゲット！
I70309,ja,ホワイトデーチケット x 9,ミッション達成報酬,ミッション達成報酬で 【ホワイトデーチケット x 9】 をゲット！
I70315,ja,ホワイトデーチケット x 15,ミッション達成報酬,ミッション達成報酬で 【ホワイトデーチケット x 15】 をゲット！
I70330,ja,ホワイトデーチケット x 30,ミッション達成報酬,ミッション達成報酬で 【ホワイトデーチケット x 30】 をゲット！
I70405,ja,にゃんこワクワクチケット x 5,ミッション達成報酬,ミッション達成報酬で 【にゃんこワクワクチケット x 5】 をゲット！
I70407,ja,にゃんこワクワクチケット x 7,ミッション達成報酬,ミッション達成報酬で 【にゃんこワクワクチケット x 7】 をゲット！
I70410,ja,にゃんこワクワクチケット x 10,ミッション達成報酬,ミッション達成報酬で 【にゃんこワクワクチケット x 10】 をゲット！
I70501,ja,桜の花びら x 1,ミッション達成報酬,ミッション達成報酬で 【桜の花びら x 1】 をゲット！
I70503,ja,桜の花びら x 3,ミッション達成報酬,ミッション達成報酬で 【桜の花びら x 3】 をゲット！
I70505,ja,桜の花びら x 5,ミッション達成報酬,ミッション達成報酬で 【桜の花びら x 5】 をゲット！
I70507,ja,桜の花びら x 7,ミッション達成報酬,ミッション達成報酬で 【桜の花びら x 7】 をゲット！
I70510,ja,桜の花びら x 10,ミッション達成報酬,ミッション達成報酬で 【桜の花びら x 10】 をゲット！
U12841,ja,マシン・シュプール x 1,ミッション達成報酬,ミッション達成報酬で 【マシン・シュプール x 1】 をゲット！
P0001,ja,ポリゴン x 1,ミッション達成報酬,ミッション達成報酬で 【ポリゴン x 1】 をゲット！
P0002,ja,ポリゴン x 2,ミッション達成報酬,ミッション達成報酬で 【ポリゴン x 2】 をゲット！
P0003,ja,ポリゴン x 3,ミッション達成報酬,ミッション達成報酬で 【ポリゴン x 3】 をゲット！
P0004,ja,ポリゴン x 4,ミッション達成報酬,ミッション達成報酬で 【ポリゴン x 4】 をゲット！
P0005,ja,ポリゴン x 5,ミッション達成報酬,ミッション達成報酬で 【ポリゴン x 5】 をゲット！
P0010,ja,ポリゴン x 10,ミッション達成報酬,ミッション達成報酬で 【ポリゴン x 10】 をゲット！
P0020,ja,ポリゴン x 20,ミッション達成報酬,ミッション達成報酬で 【ポリゴン x 20】 をゲット！
P0025,ja,ポリゴン x 25,ミッション達成報酬,ミッション達成報酬で 【ポリゴン x 25】 をゲット！
P0050,ja,ポリゴン x 50,ミッション達成報酬,ミッション達成報酬で 【ポリゴン x 50】 をゲット！
L0001,ja,リンク x 100,ミッション達成報酬,ミッション達成報酬で 【リンク x 100】 をゲット！
L0002,ja,リンク x 200,ミッション達成報酬,ミッション達成報酬で 【リンク x 200】 をゲット！
L0003,ja,リンク x 300,ミッション達成報酬,ミッション達成報酬で 【リンク x 300】 をゲット！
L0004,ja,リンク x 400,ミッション達成報酬,ミッション達成報酬で 【リンク x 400】 をゲット！
