period_id,start_date,end_date
0,2015-03-27 00:00:00,2970-01-01 09:00:00
5010,2015-03-01 09:00:00,2015-08-28 14:59:59
5011,2500-08-20 15:00:00,2500-08-25 14:59:59
5020,2015-09-02 15:00:00,2015-09-11 14:59:59
5021,2015-08-28 15:00:00,2015-09-02 14:59:59
5022,2015-09-11 15:00:00,2015-09-13 23:59:59
5023,2015-09-14 00:00:00,2015-09-14 23:59:59
5024,2015-09-15 00:00:00,2015-09-15 14:59:59
5025,2015-09-15 15:00:00,2015-09-16 14:59:59
5026,2015-09-16 15:00:00,2015-09-22 14:59:59
5027,2015-09-26 15:00:00,2015-09-26 23:59:59
5033,2015-09-28 00:00:00,2015-09-28 14:59:59
5028,2015-09-27 00:00:00,2015-09-27 23:59:59
5029,2015-09-28 15:00:00,2015-09-30 14:59:59
5030,2015-09-22 15:00:00,2015-09-23 23:59:59
5031,2015-09-24 00:00:00,2015-09-24 23:59:59
5032,2015-09-25 00:00:00,2015-09-25 14:59:59
5034,2015-09-25 15:00:00,2015-09-26 14:59:59
5035,2015-09-30 15:00:00,2015-10-03 23:59:59
5036,2015-10-05 15:00:00,2015-10-05 23:59:59
5037,2015-10-06 00:00:00,2015-10-06 23:59:59
5038,2015-10-07 00:00:00,2015-10-07 14:59:59
5039,2015-10-08 15:00:00,2015-10-08 23:59:59
5040,2015-10-10 15:00:00,2015-10-11 23:59:59
5041,2015-10-12 00:00:00,2015-10-12 23:59:59
5042,2015-10-13 00:00:00,2015-10-13 14:59:59
5043,2015-10-12 15:00:00,2100-01-01 14:59:59
5044,2015-10-04 00:00:00,2015-10-04 23:59:59
5045,2015-10-05 00:00:00,2015-10-05 14:59:59
5046,2015-10-07 15:00:00,2015-10-08 14:59:59
5047,2015-10-09 00:00:00,2015-10-09 23:59:59
5048,2015-10-10 00:00:00,2015-10-10 14:59:59
5049,2015-10-13 15:00:00,2015-10-14 23:59:59
5050,2015-10-15 00:00:00,2015-10-15 23:59:59
5051,2015-10-16 00:00:00,2015-10-16 14:59:59
5052,2015-10-16 15:00:00,2015-10-17 23:59:59
5053,2015-10-18 00:00:00,2015-10-18 23:59:59
5054,2015-10-19 00:00:00,2015-10-19 14:59:59
5055,2015-10-19 15:00:00,2015-10-21 23:59:59
5056,2015-10-22 00:00:00,2015-10-22 23:59:59
5057,2015-10-23 00:00:00,2015-10-23 14:59:59
5058,2015-10-23 15:00:00,2015-10-28 14:59:59
5059,2015-10-28 00:00:00,2015-10-28 14:59:59
5060,2015-10-28 15:00:00,2015-10-31 14:59:59
5061,2015-10-31 00:00:00,2015-10-31 14:59:59
5062,2015-11-02 15:00:00,2015-11-08 14:59:59
5063,2015-11-08 00:00:00,2015-11-08 14:59:59
5064,2015-11-08 15:00:00,2015-11-16 14:59:59
