pack_code,gift_id
ServicePack003,7000009
ServicePack003,7000010
ServicePack003,7000011
ServicePack003,7000012
ServicePack003,7000013
ServicePack004,700014
ServicePack004,700015
ServicePack004,700016
ServicePack004,700017
ServicePack004,700018
ServicePack004,700019
ServicePack004,700020
ServicePack004,700021
ServicePack004,700022
ServicePack005,700023
ServicePack005,700024
ServicePack005,700025
ServicePack006,700026
ServicePack006,700027
ServicePack006,700028
ServicePack007,700029
ServicePack007,700030
ServicePack007,700031
ServicePack007,700032
ServicePack007,700033
ServicePack007,700034
ServicePack001,700035
ServicePack001,700036
ServicePack001,700037
ServicePack001,700038
ServicePack001,700039
ServicePack001,700040
ServicePack001,700041
ServicePack001,700042
ServicePack001,700043
ServicePack002,700044
ServicePack002,700045
ServicePack002,700046
ServicePack008,700047
ServicePack008,700048
ServicePack009,700049
ServicePack010,700050
ServicePack010,700051
ServicePack010,700052
