quest_id,group,bonus_type,bonus_value,priority,start_date,end_date
1,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
1,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
2,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
2,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
3,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
3,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
4,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
4,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
5,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
5,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
6,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
6,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
7,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
7,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
8,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
8,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
9,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
9,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
10,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
10,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
12,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
12,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
13,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
13,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
14,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
14,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
15,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
15,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
16,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
16,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
17,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
17,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
18,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
18,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
19,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
19,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
21,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
21,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
22,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
22,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
23,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
23,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
24,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
24,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
24,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
24,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
26,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
26,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
27,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
27,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
28,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
28,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
29,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
29,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
30,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
30,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
31,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
31,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
10008,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
10008,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
10010,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
10010,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
10015,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
10015,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
10020,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
10020,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
10025,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
10025,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11001,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11001,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11002,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11002,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11003,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11003,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11004,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11004,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11005,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11005,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11007,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11007,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11008,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11008,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11017,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11017,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11101,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11101,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11102,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11102,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11103,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11103,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11104,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11104,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11105,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11105,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11207,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11207,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11208,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
11208,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
13001,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
13001,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
13101,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
13101,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
13300,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
13300,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
13301,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
13301,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
15027,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
15027,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
15028,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
15028,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
15029,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
15029,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
15030,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
15030,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
15031,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
15031,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20001,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20001,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20002,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20002,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20003,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20003,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20004,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20004,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20005,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20005,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20006,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20006,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20007,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20007,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20008,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20008,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20009,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20009,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20010,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20010,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20011,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20011,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20012,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20012,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20013,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20013,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20014,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20014,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20015,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20015,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20016,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20016,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20017,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20017,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20018,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20018,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20019,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20019,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20020,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20020,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20021,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
20021,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
30001,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
30001,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
30002,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
30002,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
30003,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
30003,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
30004,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
30004,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
30005,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
30005,beginners,beginners_bit,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
30006,beginners,beginners_exp,3,1,2000-01-01 00:00:00,2970-12-31 23:59:59
