quest_id,quest_type,valid_flg,attribute_red,attribute_blue,attribute_green,attribute_yellow,pay_limit_time,options,preview_end_date,preview_start_date,help_myself
0,tutorial,3,0,0,0,0,-1,,NULL,NULL,0
1,normal,3,1,1,1,1,-1,,NULL,NULL,1
2,normal,3,1,0,0,0,-1,,NULL,NULL,1
3,normal,3,0,0,1,0,-1,,NULL,NULL,1
4,normal,3,0,0,0,1,-1,,NULL,NULL,1
5,normal,3,0,1,0,0,-1,,NULL,NULL,1
6,normal,3,1,1,1,1,-1,,NULL,NULL,1
7,normal,3,0,0,1,0,-1,,NULL,NULL,1
8,normal,3,0,0,0,1,-1,,NULL,NULL,1
9,normal,3,0,1,0,0,-1,,NULL,NULL,1
10,normal,3,1,0,0,0,-1,,NULL,NULL,1
11,normal,3,1,1,1,1,-1,,NULL,NULL,1
12,normal,3,0,0,0,1,-1,,NULL,NULL,1
13,normal,3,0,1,0,0,-1,,NULL,NULL,1
14,normal,3,1,0,0,0,-1,,NULL,NULL,1
15,normal,3,0,0,1,0,-1,,NULL,NULL,1
16,normal,3,1,1,1,1,-1,,NULL,NULL,1
17,normal,3,0,1,0,0,-1,,NULL,NULL,1
18,normal,3,1,0,0,0,-1,,NULL,NULL,1
19,normal,3,0,0,1,0,-1,,NULL,NULL,1
20,normal,3,0,0,0,1,-1,,NULL,NULL,1
21,normal,3,1,1,1,1,-1,,NULL,NULL,1
22,normal,3,1,1,0,0,-1,,NULL,NULL,1
23,normal,3,1,0,1,0,-1,,NULL,NULL,1
24,normal,3,0,0,1,1,-1,,NULL,NULL,1
25,normal,3,0,1,0,1,-1,,NULL,NULL,1
26,normal,3,1,1,1,1,-1,,NULL,NULL,1
27,normal,1,0,1,0,1,-1,,NULL,NULL,1
28,normal,1,1,0,1,0,-1,,NULL,NULL,1
29,normal,1,0,0,1,1,-1,,NULL,NULL,1
30,normal,1,1,1,0,0,-1,,NULL,NULL,1
31,normal,1,1,1,1,1,-1,,NULL,NULL,1
10008,event,0,0,0,0,0,-1,,NULL,NULL,1
10010,event,0,0,0,0,0,-1,,NULL,NULL,1
10015,event,0,0,0,0,0,-1,,NULL,NULL,1
10020,event,0,0,0,0,0,-1,,NULL,NULL,1
10025,event,0,0,0,0,0,-1,,NULL,NULL,1
10030,event,0,0,0,0,0,-1,,NULL,NULL,1
10035,event,0,0,0,0,0,-1,,NULL,NULL,1
10040,event,0,0,0,0,0,-1,,NULL,NULL,1
10045,event,0,0,0,0,0,-1,,NULL,NULL,1
10050,event,0,0,0,0,0,-1,,NULL,NULL,1
10055,event,0,0,0,0,0,-1,,NULL,NULL,1
10060,event,0,0,0,0,0,-1,,NULL,NULL,1
10065,event,1,0,0,0,0,-1,,NULL,NULL,1
10090,event,0,0,0,0,0,-1,,NULL,NULL,1
10100,event,0,0,0,0,0,-1,,NULL,NULL,1
11001,weekly,3,0,0,0,0,-1,,NULL,NULL,1
11002,weekly,3,0,0,0,0,-1,,NULL,NULL,1
11003,weekly,3,0,0,0,0,-1,,NULL,NULL,1
11004,weekly,3,0,0,0,0,-1,,NULL,NULL,1
11005,weekly,3,0,0,0,0,-1,,NULL,NULL,1
11006,weekly,3,0,0,0,0,-1,,NULL,NULL,1
11007,weekly,3,0,0,0,0,-1,,NULL,NULL,1
11008,weekly,3,0,0,0,0,-1,,NULL,NULL,1
11101,event,3,0,0,0,0,-1,,NULL,NULL,1
11102,event,3,0,0,0,0,-1,,NULL,NULL,1
11103,event,3,0,0,0,0,-1,,NULL,NULL,1
11104,event,3,0,0,0,0,-1,,NULL,NULL,1
11105,event,3,0,0,0,0,-1,,NULL,NULL,1
11106,event,0,0,0,0,0,-1,,NULL,NULL,1
11206,event,0,0,0,0,0,-1,,NULL,NULL,1
11016,event,3,0,0,0,0,-1,,NULL,NULL,1
11017,event,3,0,0,0,0,-1,,NULL,NULL,1
11018,event,3,0,0,0,0,-1,,NULL,NULL,1
11207,event,3,0,0,0,0,-1,,NULL,NULL,1
11208,event,0,0,0,0,0,-1,,NULL,NULL,1
11209,event,3,0,0,0,0,-1,,NULL,NULL,1
11210,guerilla,1,0,0,0,0,-1,,NULL,NULL,1
11211,event,1,0,0,0,0,-1,,NULL,NULL,1
11212,event,3,0,0,0,0,-1,,NULL,NULL,1
11213,event,0,0,0,0,0,-1,,NULL,NULL,1
11214,event,3,0,0,0,0,-1,,NULL,NULL,1
11215,guerilla,3,0,0,0,0,-1,,NULL,NULL,1
11216,event,3,0,0,0,0,-1,,NULL,NULL,1
11217,event,3,0,0,0,0,-1,,NULL,NULL,1
11218,event,3,0,0,0,0,-1,,NULL,NULL,1
11219,event,3,0,0,0,0,-1,,NULL,NULL,1
11220,event,3,0,0,0,0,-1,,NULL,NULL,1
