quest_id,language,name,detail,story
0,ja,チュートリアル,チュートリアル,
1,ja,1．ALICEの入り口,NULL,
2,ja,2．火之柄神社,NULL,
3,ja,3．グリーンモール,NULL,
4,ja,4．イエロープラント,NULL,
5,ja,5．ウォーターランド,NULL,
6,ja,6．ドリームパーク,NULL,
7,ja,7．ローガ密林,NULL,
8,ja,8．ヴィクリー砂漠,NULL,
9,ja,9．ラバーズ氷河,NULL,
10,ja,10．奥散水の紅葉岩,NULL,
11,ja,11．ディープソート戦場跡,NULL,
12,ja,12．電脳街アキハバラ2.0,NULL,
13,ja,13．天空城マドーラ,NULL,
14,ja,14．機械都市マッシュ,NULL,
15,ja,15．ハイサイスタジアム,NULL,
16,ja,16．H&Gスイートハウス,NULL,
17,ja,17．エナリオス海中神殿,NULL,
18,ja,18．アリスボウル,NULL,
19,ja,19．アレイスター王立図書館,NULL,
20,ja,20．コロシアム,NULL,
21,ja,21．胡蝶舞う植物園,NULL,
22,ja,22．紫炎の例大祭,NULL,
23,ja,23．ファングフォレスト,NULL,
24,ja,24．バトルフィールドヘヴン,NULL,
25,ja,25．サディスティックパーティ,NULL,
26,ja,26．クラブ クラッシュビーツ,NULL,
27,ja,0,NULL,
28,ja,0,NULL,
29,ja,0,NULL,
30,ja,0,NULL,
31,ja,0,NULL,
10008,ja,【1回のみ】幸せのカタチ,ランク8開放,
10010,ja,【1回のみ】幼女増殖！！,ランク10開放,
10015,ja,【1回のみ】静かなる混乱,ランク15開放,
10020,ja,【1回のみ】紅き侵入者,ランク20開放,
10025,ja,【1回のみ】イブとトモダチと狼男,ランク25開放,
10030,ja,【1回のみ】陸と海,ランク30開放,
10035,ja,【1回のみ】二人の関係は？,ランク35開放,
10040,ja,【1回のみ】大地の杖,ランク40開放,
10045,ja,【1回のみ】迅雷,ランク45開放,
10050,ja,【1回のみ】噛み合わない二柱,ランク50開放,
10055,ja,【1回のみ】美女と美獣,ランク55開放,
10060,ja,【1回のみ】東と西の女神,ランク60開放,
10065,ja,【ランク65開放】【1回のみ】 奪還！太陽神！【仮開放】,ランク開放クエスト,
10090,ja,【ランク90開放】【1回のみ】 星の降る夜に,ランク開放クエスト,
10100,ja,【ランク100開放】【1回のみ】 お前のものは誰のもの？,ランク開放クエスト,
11001,ja,【月曜限定】 黄の素材,曜日クエスト,
11002,ja,【火曜限定】 赤の素材,曜日クエスト,
11003,ja,【水曜限定】 青の素材,曜日クエスト,
11004,ja,【木曜限定】 緑の素材,曜日クエスト,
11005,ja,【金曜限定】 帽子屋を追え！,曜日クエスト,
11006,ja,【土日限定】 ゴールドカジノ,曜日クエスト(ハートなし),
11007,ja,【土曜限定】 赤と緑の素材,曜日クエスト,
11008,ja,【日曜限定】 青と黄の素材,曜日クエスト,
11101,ja,【期間限定】 黄の素材,期間限定クエスト,
11102,ja,【期間限定】 赤の素材,期間限定クエスト,
11103,ja,【期間限定】 青の素材,期間限定クエスト,
11104,ja,【期間限定】 緑の素材,期間限定クエスト,
11105,ja,【期間限定】 帽子屋を追え！,期間限定クエスト,
11106,ja,【キャンペーン限定】 ゴールドカジノ,曜日クエスト,
11206,ja,【キャンペーン限定】 ゴールドカジノ,曜日クエスト,
11016,ja,【マルチ専用1/2】 ゴールドカジノ,曜日クエスト(ハートなし),
11017,ja,【期間限定】リトルハンプティを追え！,期間限定クエスト（ハートなし）,
11018,ja,【エナジー1/2】 ゴールドカジノ,期間限定クエスト（ハートなし）,
11207,ja,果実達の大宴会,期間限定クエスト（ハートなし）,
11208,ja,果実達の大宴会,期間限定クエスト,
11209,ja,スタートダッシュキャンペーンクエスト,期間限定クエスト（ハートなし）,
11210,ja,100万DL記念★育成ブースト！,ゲリラクエスト,
11211,ja,※欠番,ソロ限定ゲリラクエスト※欠番,
11212,ja,100万DL記念★特別クエスト,100万DL記念★特別クエスト,
11213,ja,クエスト名,ユニット育成クエスト,
11214,ja,プロメテウスの恋,クリスマス★特別クエスト,
11215,ja,【マルチ】サンタダックを捕獲せよ！,クリスマス★特別ゲリラ,
11216,ja,年越し★特別クエスト,年越し★特別クエスト,
11217,ja,年明け★特別クエスト,年明け★特別クエスト,
11218,ja,バレンタイン★特別クエスト,バレンタイン★特別クエスト,
11219,ja,200万DL記念★特別クエスト,200万DL記念★特別クエスト,
11220,ja,ホワイトデー★特別クエスト,ホワイトデー★特別クエスト,
11221,ja,新生活★応援クエスト,新生活★応援クエスト,
11224,ja,TVCM放送記念★特別クエスト,TVCM放送記念★特別クエスト,
11225,ja,400万DL記念★特別クエスト,400万DL記念★特別クエスト,
11226,ja,1周年記念★特別クエスト,1周年記念★特別クエスト,
11227,ja,TVCM第2弾放送記念★特別クエスト,TVCM第2弾放送記念★特別クエスト,
11228,ja,バレンタイン★特別クエスト,バレンタイン★特別クエスト,
11229,ja,ホワイトデー★特別クエスト,ホワイトデー★特別クエスト,
11230,ja,未知のウィルス大捜査！,24時間限定,
11231,ja,桜姫の招待状,お花見★特別クエスト,
12001,ja,【緊急！！】 アヒル捕獲作戦,ゲリラクエスト(ハートなし),
12002,ja,【マルチ専用1/2】 アヒル捕獲作戦,ゲリラクエスト(ハートなし),
12003,ja,【超緊急！！】メタルジェントルを追え,ゲリラクエスト,
12004,ja,メタルフロッグをもとめて,期間限定クエスト,
13001,ja,チャレンジタワー(ソロ専用),チャレンジタワー,
13101,ja,チャレンジタワー,チャレンジタワー,
13300,ja,タワーオブザクイーン -アヴァルシア-,タワーオブザクイーン(ソロ専用),
13301,ja,タワーオブザクイーン -アヴァルシア-,タワーオブザクイーン(ソロ専用),
13302,ja,タワーオブザクイーン -アヴァルシア-,タワーオブザクイーン(ソロ専用),
13400,ja,タワーオブザクイーン -エルフラム-,タワーオブザクイーン(ソロ専用),
14001,ja,【ロック】経験値/ソロ,【ロック】経験値/ソロ,
14002,ja,【ロック】ビット/ソロ,【ロック】ビット/ソロ,
14003,ja,【ロック】限界突破/ソロ,【ロック】限界突破/ソロ,
14004,ja,【ロック】経験値/LINEマルチ,【ロック】経験値/LINEマルチ,
14005,ja,【ロック】ビット/LINEマルチ,【ロック】ビット/LINEマルチ,
14006,ja,【ロック】限界突破/LINEマルチ,【ロック】限界突破/LINEマルチ,
15027,ja,27. 雷雨の登山道,NULL,
15028,ja,28. 暴風と灼熱の罪浄,NULL,
15029,ja,29. 雪の望郷,NULL,
15030,ja,30. 月夜のオールドシティ,NULL,
15031,ja,31. 桜花乱城,NULL,
20001,ja,紅き執行者,期間限定クエスト,
20002,ja,孤高の一角獣,ハートが出現しない！,
20003,ja,忍び寄る短剣,期間限定クエスト,
20004,ja,雷雲からの刺客,ハートが出現しない！,
20005,ja,ザ・キャノン,1ターンに4タップ可能！,
20006,ja,スチール・プレデター,1ターンに2タップしかできない！,
20007,ja,女王陛下の処刑龍,1ターンに4タップ可能！,
20008,ja,天翔ける金轟機龍,期間限定クエスト,
20009,ja,迫り来る窒息,5チェインでCパネルができる！,
20010,ja,悪夢の一目惚れ,緑パネルが出現しない！,
20011,ja,すべてが灰になる,5チェインでCパネルができる！,
20012,ja,罪と劇薬,赤パネルが出現しない！,
20013,ja,天の時、地の利、人の和,期間限定クエスト,
20014,ja,魅了する歌声,4チェインでCパネルができる！,
20015,ja,妄執とり憑く美貌の妃,期間限定クエスト,
20016,ja,寡黙な翼竜の侵攻,期間限定クエスト,
20017,ja,隻腕の提督,黄パネルが出現しない！,
20018,ja,魂を屠る黒影,期間限定クエスト,
20019,ja,灼熱の舞姫,期間限定クエスト,
20020,ja,変幻自在の風,期間限定クエスト,
20021,ja,ペインター・オブ・ラブ,期間限定クエスト,
20022,ja,年を越える宴,年越し★特別クエスト,
30001,ja,ハンター・オブ・ハンター,期間限定クエスト,
