quest_id,stage_id,thumbnail_character_id,stamina,rank_exp,red_flg,blue_flg,green_flg,yellow_flg,heal_flg,attack_count,treasure_type,treasure_value,prev_quest_id,prev_stage_id,background,completable_time,valid_flg,crash_panel_materials,stage_target,bgm,bgm_boss,bgm_boss_last,continue_limit,attribute_red,attribute_blue,attribute_green,attribute_yellow,need_rank,chat_type,treasure_bug,stage_type
0,1,NULL,1,25,1,1,1,1,1,3,none,0,NULL,NULL,1,anytime,3,6,everyone,0,0,0,-1,0,0,0,0,-1,normal,null,normal
0,2,NULL,1,25,1,1,1,1,1,3,none,0,0,1,2,anytime,3,6,everyone,11,5000,0,-1,0,0,0,0,-1,normal,null,normal
1,1,NULL,3,140,1,1,1,1,1,3,none,0,0,2,1,anytime,3,6,everyone,0,0,0,-1,1,1,1,1,-1,normal,null,normal
1,2,NULL,4,180,1,1,1,1,1,3,none,0,1,1,1,anytime,3,6,everyone,0,0,0,-1,1,1,1,1,-1,normal,null,normal
1,3,NULL,5,220,1,1,1,1,1,3,none,0,1,2,1,anytime,3,6,everyone,3,0,0,-1,1,1,1,1,-1,normal,null,normal
1,4,631,1,1,1,1,1,1,1,3,character,"347,347,347,347,347",1,3,1,once,3,6,singleonly,1,0,0,-1,1,1,1,1,-1,normal,null,normal
2,1,NULL,3,160,1,1,1,1,1,3,none,0,1,4,2,anytime,3,6,everyone,0,0,0,-1,1,0,0,0,-1,normal,null,normal
2,2,NULL,4,200,1,1,1,1,1,3,none,0,2,1,2,anytime,3,6,everyone,0,0,0,-1,1,0,0,0,-1,normal,null,normal
2,3,NULL,5,240,1,1,1,1,1,3,none,0,2,2,2,anytime,3,6,everyone,3,0,0,-1,1,0,0,0,-1,normal,null,normal
2,4,125,1,1,1,1,1,1,1,3,character,"347,347,347,347,347,125",2,3,2,once,3,6,singleonly,1,0,0,-1,1,0,0,0,-1,normal,null,normal
3,1,NULL,4,160,1,1,1,1,1,3,none,0,2,4,3,anytime,3,6,everyone,0,0,0,-1,0,0,1,0,-1,normal,null,normal
3,2,NULL,5,200,1,1,1,1,1,3,none,0,3,1,3,anytime,3,6,everyone,0,0,0,-1,0,0,1,0,-1,normal,null,normal
3,3,NULL,6,240,1,1,1,1,1,3,none,0,3,2,3,anytime,3,6,everyone,3,0,0,-1,0,0,1,0,-1,normal,null,normal
3,4,569,1,1,1,1,1,1,1,3,character,"106,107,108,357,837",3,3,3,once,3,6,singleonly,1,0,0,-1,0,0,1,0,-1,normal,null,normal
4,1,NULL,4,180,1,1,1,1,1,3,none,0,3,4,4,anytime,3,6,everyone,0,0,0,-1,0,0,0,1,-1,normal,null,normal
4,2,NULL,5,220,1,1,1,1,1,3,none,0,4,1,4,anytime,3,6,everyone,0,0,0,-1,0,0,0,1,-1,normal,null,normal
4,3,NULL,6,260,1,1,1,1,1,3,none,0,4,2,4,anytime,3,6,everyone,3,0,0,-1,0,0,0,1,-1,normal,null,normal
4,4,339,1,1,1,1,1,1,1,3,character,"339,339,339,339,339,125",4,3,4,once,3,6,singleonly,1,0,0,-1,0,0,0,1,-1,normal,null,normal
5,1,NULL,5,240,1,1,1,1,1,3,none,0,4,4,5,anytime,3,6,everyone,0,0,0,-1,0,1,0,0,-1,normal,null,normal
5,2,NULL,6,280,1,1,1,1,1,3,none,0,5,1,5,anytime,3,6,everyone,0,0,0,-1,0,1,0,0,-1,normal,null,normal
5,3,NULL,7,320,1,1,1,1,1,3,none,0,5,2,5,anytime,3,6,everyone,3,0,0,-1,0,1,0,0,-1,normal,null,normal
5,4,339,1,1,1,1,1,1,1,3,character,"339,339,339,339,339,125",5,3,5,once,3,6,singleonly,1,0,0,-1,0,1,0,0,-1,normal,null,normal
6,1,NULL,8,360,1,1,1,1,1,3,none,0,5,4,6,anytime,3,6,everyone,0,0,0,-1,1,1,1,1,-1,normal,null,normal
6,2,NULL,8,410,1,1,1,1,1,3,none,0,6,1,6,anytime,3,6,everyone,0,0,0,-1,1,1,1,1,-1,normal,null,normal
6,3,NULL,9,460,1,1,1,1,1,3,none,0,6,2,6,anytime,3,6,everyone,0,0,0,-1,1,1,1,1,-1,normal,null,normal
6,4,NULL,9,510,1,1,1,1,1,3,none,0,6,3,6,anytime,3,6,everyone,0,0,0,-1,1,1,1,1,-1,normal,null,normal
6,5,NULL,10,680,1,1,1,1,1,3,none,0,6,4,6,anytime,3,6,everyone,3,0,0,-1,1,1,1,1,-1,normal,null,normal
6,6,335,1,1,1,1,1,1,1,3,character,"335,335,335,335,335,125",6,5,6,once,3,6,singleonly,1,0,0,-1,1,1,1,1,-1,normal,null,normal
7,1,NULL,6,320,1,1,1,1,1,3,none,0,6,6,7,anytime,3,6,everyone,0,0,0,-1,0,0,1,0,-1,normal,null,normal
7,2,NULL,6,360,1,1,1,1,1,3,none,0,7,1,7,anytime,3,6,everyone,0,0,0,-1,0,0,1,0,-1,normal,null,normal
7,3,NULL,7,400,1,1,1,1,1,3,none,0,7,2,7,anytime,3,6,everyone,0,0,0,-1,0,0,1,0,-1,normal,null,normal
7,4,NULL,8,440,1,1,1,1,1,3,none,0,7,3,7,anytime,3,6,everyone,0,0,0,-1,0,0,1,0,-1,normal,null,normal
7,5,NULL,10,620,1,1,1,1,1,3,none,0,7,4,7,anytime,3,6,everyone,3,0,0,-1,0,0,1,0,-1,normal,null,normal
7,6,335,1,1,1,1,1,1,1,3,character,"335,335,335,335,335,125",7,5,7,once,3,6,singleonly,1,0,0,-1,0,0,1,0,-1,normal,null,normal
8,1,NULL,6,480,1,1,1,1,1,3,none,0,7,6,8,anytime,3,6,everyone,0,0,0,-1,0,0,0,1,-1,normal,null,normal
8,2,NULL,6,520,1,1,1,1,1,3,none,0,8,1,8,anytime,3,6,everyone,0,0,0,-1,0,0,0,1,-1,normal,null,normal
8,3,NULL,7,560,1,1,1,1,1,3,none,0,8,2,8,anytime,3,6,everyone,0,0,0,-1,0,0,0,1,-1,normal,null,normal
8,4,NULL,8,600,1,1,1,1,1,3,none,0,8,3,8,anytime,3,6,everyone,0,0,0,-1,0,0,0,1,-1,normal,null,normal
8,5,NULL,10,820,1,1,1,1,1,3,none,0,8,4,8,anytime,3,6,everyone,3,0,0,-1,0,0,0,1,-1,normal,null,normal
8,6,335,1,1,1,1,1,1,1,3,character,"335,335,335,335,335,125",8,5,8,once,3,6,singleonly,1,0,0,-1,0,0,0,1,-1,normal,null,normal
9,1,NULL,7,620,1,1,1,1,1,3,none,0,8,6,9,anytime,3,6,everyone,0,0,0,-1,0,1,0,0,-1,normal,null,normal
9,2,NULL,7,680,1,1,1,1,1,3,none,0,9,1,9,anytime,3,6,everyone,0,0,0,-1,0,1,0,0,-1,normal,null,normal
9,3,NULL,8,740,1,1,1,1,1,3,none,0,9,2,9,anytime,3,6,everyone,0,0,0,-1,0,1,0,0,-1,normal,null,normal
9,4,NULL,9,800,1,1,1,1,1,3,none,0,9,3,9,anytime,3,6,everyone,0,0,0,-1,0,1,0,0,-1,normal,null,normal
9,5,NULL,13,980,1,1,1,1,1,3,none,0,9,4,9,anytime,3,6,everyone,3,0,0,-1,0,1,0,0,-1,normal,null,normal
9,6,335,1,1,1,1,1,1,1,3,character,"335,335,335,335,335,122",9,5,9,once,3,6,singleonly,1,0,0,-1,0,1,0,0,-1,normal,null,normal
10,1,NULL,8,680,1,1,1,1,1,3,none,0,9,6,10,anytime,3,6,everyone,0,0,0,-1,1,0,0,0,-1,normal,null,normal
10,2,NULL,8,740,1,1,1,1,1,3,none,0,10,1,10,anytime,3,6,everyone,0,0,0,-1,1,0,0,0,-1,normal,null,normal
10,3,NULL,9,800,1,1,1,1,1,3,none,0,10,2,10,anytime,3,6,everyone,0,0,0,-1,1,0,0,0,-1,normal,null,normal
10,4,NULL,9,860,1,1,1,1,1,3,none,0,10,3,10,anytime,3,6,everyone,0,0,0,-1,1,0,0,0,-1,normal,null,normal
10,5,NULL,13,1140,1,1,1,1,1,3,none,0,10,4,10,anytime,3,6,everyone,3,0,0,-1,1,0,0,0,-1,normal,null,normal
10,6,335,1,1,1,1,1,1,1,3,character,"335,335,335,335,335,123",10,5,10,once,3,6,singleonly,1,0,0,-1,1,0,0,0,-1,normal,null,normal
11,1,NULL,7,860,1,1,1,1,1,3,none,0,10,6,11,anytime,3,6,everyone,0,0,0,-1,1,1,1,1,-1,normal,null,normal
11,2,NULL,7,900,1,1,1,1,1,3,none,0,11,1,11,anytime,3,6,everyone,0,0,0,-1,1,1,1,1,-1,normal,null,normal
11,3,NULL,8,1020,1,1,1,1,1,3,none,0,11,2,11,anytime,3,6,everyone,0,0,0,-1,1,1,1,1,-1,normal,null,normal
11,4,NULL,9,1160,1,1,1,1,1,3,none,0,11,3,11,anytime,3,6,everyone,0,0,0,-1,1,1,1,1,-1,normal,null,normal
11,5,NULL,15,1400,1,1,1,1,1,3,none,0,11,4,11,anytime,3,6,everyone,3,0,0,-1,1,1,1,1,-1,normal,null,normal
11,6,343,1,1,1,1,1,1,1,3,character,"343,343,343,343,343,121",11,5,11,once,3,6,singleonly,1,0,0,-1,1,1,1,1,-1,normal,null,normal
12,1,NULL,8,720,1,1,1,1,1,3,none,0,11,6,12,anytime,3,6,everyone,0,0,0,-1,0,0,0,1,-1,normal,null,normal
12,2,NULL,8,760,1,1,1,1,1,3,none,0,12,1,12,anytime,3,6,everyone,0,0,0,-1,0,0,0,1,-1,normal,null,normal
12,3,NULL,9,840,1,1,1,1,1,3,none,0,12,2,12,anytime,3,6,everyone,0,0,0,-1,0,0,0,1,-1,normal,null,normal
12,4,NULL,10,880,1,1,1,1,1,3,none,0,12,3,12,anytime,3,6,everyone,0,0,0,-1,0,0,0,1,-1,normal,null,normal
12,5,NULL,14,1120,1,1,1,1,1,3,none,0,12,4,12,anytime,3,6,everyone,3,0,0,-1,0,0,0,1,-1,normal,null,normal
12,6,347,1,1,1,1,1,1,1,3,character,"347,347,347,347,347,122",12,5,12,once,3,6,singleonly,1,0,0,-1,0,0,0,1,-1,normal,null,normal
13,1,NULL,8,760,1,1,1,1,1,3,none,0,12,6,13,anytime,3,6,everyone,0,0,0,-1,0,1,0,0,-1,normal,null,normal
13,2,NULL,8,800,1,1,1,1,1,3,none,0,13,1,13,anytime,3,6,everyone,0,0,0,-1,0,1,0,0,-1,normal,null,normal
13,3,NULL,9,880,1,1,1,1,1,3,none,0,13,2,13,anytime,3,6,everyone,0,0,0,-1,0,1,0,0,-1,normal,null,normal
13,4,NULL,10,920,1,1,1,1,1,3,none,0,13,3,13,anytime,3,6,everyone,0,0,0,-1,0,1,0,0,-1,normal,null,normal
13,5,NULL,14,1180,1,1,1,1,1,3,none,0,13,4,13,anytime,3,6,everyone,3,0,0,-1,0,1,0,0,-1,normal,null,normal
13,6,339,1,1,1,1,1,1,1,3,character,"339,339,339,339,339,123",13,5,13,once,3,6,singleonly,1,0,0,-1,0,1,0,0,-1,normal,null,normal
14,1,NULL,8,860,1,1,1,1,1,3,none,0,13,6,14,anytime,3,6,everyone,0,0,0,-1,1,0,0,0,-1,normal,null,normal
14,2,NULL,8,900,1,1,1,1,1,3,none,0,14,1,14,anytime,3,6,everyone,0,0,0,-1,1,0,0,0,-1,normal,null,normal
14,3,NULL,9,980,1,1,1,1,1,3,none,0,14,2,14,anytime,3,6,everyone,0,0,0,-1,1,0,0,0,-1,normal,null,normal
14,4,NULL,10,1060,1,1,1,1,1,3,none,0,14,3,14,anytime,3,6,everyone,0,0,0,-1,1,0,0,0,-1,normal,null,normal
14,5,NULL,14,1320,1,1,1,1,1,3,none,0,14,4,14,anytime,3,6,everyone,3,0,0,-1,1,0,0,0,-1,normal,null,normal
14,6,335,1,1,1,1,1,1,1,3,character,"335,335,335,335,335,121",14,5,14,once,3,6,singleonly,1,0,0,-1,1,0,0,0,-1,normal,null,normal
15,1,NULL,8,920,1,1,1,1,1,3,none,0,14,6,15,anytime,3,6,everyone,0,0,0,-1,0,0,1,0,-1,normal,null,normal
15,2,NULL,8,980,1,1,1,1,1,3,none,0,15,1,15,anytime,3,6,everyone,0,0,0,-1,0,0,1,0,-1,normal,null,normal
15,3,NULL,9,1060,1,1,1,1,1,3,none,0,15,2,15,anytime,3,6,everyone,0,0,0,-1,0,0,1,0,-1,normal,null,normal
15,4,NULL,10,1220,1,1,1,1,1,3,none,0,15,3,15,anytime,3,6,everyone,0,0,0,-1,0,0,1,0,-1,normal,null,normal
15,5,NULL,14,1510,1,1,1,1,1,3,none,0,15,4,15,anytime,3,6,everyone,3,0,0,-1,0,0,1,0,-1,normal,null,normal
15,6,343,1,1,1,1,1,1,1,3,character,"343,343,343,343,343,122",15,5,15,once,3,6,singleonly,1,0,0,-1,0,0,1,0,-1,normal,null,normal
16,1,NULL,9,1200,1,1,1,1,1,3,none,0,15,6,16,anytime,3,6,everyone,0,0,0,-1,1,1,1,1,-1,normal,null,normal
16,2,NULL,9,1280,1,1,1,1,1,3,none,0,16,1,16,anytime,3,6,everyone,0,0,0,-1,1,1,1,1,-1,normal,null,normal
16,3,NULL,10,1360,1,1,1,1,1,3,none,0,16,2,16,anytime,3,6,everyone,0,0,0,-1,1,1,1,1,-1,normal,null,normal
16,4,NULL,11,1580,1,1,1,1,1,3,none,0,16,3,16,anytime,3,6,everyone,0,0,0,-1,1,1,1,1,-1,normal,null,normal
16,5,NULL,16,2110,1,1,1,1,1,3,none,0,16,4,16,anytime,3,6,everyone,3,0,0,-1,1,1,1,1,-1,normal,null,normal
16,6,347,1,1,1,1,1,1,1,3,character,"347,347,347,347,347,123",16,5,16,once,3,6,singleonly,1,0,0,-1,1,1,1,1,-1,normal,null,normal
17,1,NULL,9,1020,1,1,1,1,1,3,none,0,16,6,17,anytime,3,6,everyone,0,0,0,-1,0,1,0,0,-1,normal,null,normal
17,2,NULL,9,1100,1,1,1,1,1,3,none,0,17,1,17,anytime,3,6,everyone,0,0,0,-1,0,1,0,0,-1,normal,null,normal
17,3,NULL,10,1150,1,1,1,1,1,3,none,0,17,2,17,anytime,3,6,everyone,0,0,0,-1,0,1,0,0,-1,normal,null,normal
17,4,NULL,11,1320,1,1,1,1,1,3,none,0,17,3,17,anytime,3,6,everyone,0,0,0,-1,0,1,0,0,-1,normal,null,normal
17,5,NULL,15,1650,1,1,1,1,1,3,none,0,17,4,17,anytime,3,6,everyone,3,0,0,-1,0,1,0,0,-1,normal,null,normal
17,6,339,1,1,1,1,1,1,1,3,character,"339,339,339,339,339,121",17,5,17,once,3,6,singleonly,1,0,0,-1,0,1,0,0,-1,normal,null,normal
18,1,NULL,9,1040,1,1,1,1,1,3,none,0,17,6,18,anytime,3,6,everyone,0,0,0,-1,1,0,0,0,-1,normal,null,normal
18,2,NULL,9,1120,1,1,1,1,1,3,none,0,18,1,18,anytime,3,6,everyone,0,0,0,-1,1,0,0,0,-1,normal,null,normal
18,3,NULL,10,1200,1,1,1,1,1,3,none,0,18,2,18,anytime,3,6,everyone,0,0,0,-1,1,0,0,0,-1,normal,null,normal
18,4,NULL,11,1350,1,1,1,1,1,3,none,0,18,3,18,anytime,3,6,everyone,0,0,0,-1,1,0,0,0,-1,normal,null,normal
18,5,NULL,15,1680,1,1,1,1,1,3,none,0,18,4,18,anytime,3,6,everyone,3,0,0,-1,1,0,0,0,-1,normal,null,normal
18,6,335,1,1,1,1,1,1,1,3,character,"335,335,335,335,335,122",18,5,18,once,3,6,singleonly,1,0,0,-1,1,0,0,0,-1,normal,null,normal
19,1,NULL,9,1130,1,1,1,1,1,3,none,0,18,6,19,anytime,3,6,everyone,0,0,0,-1,0,0,1,0,-1,normal,null,normal
