title_id,arrangement,type
110011,1st,normal
110012,2nd,normal
110021,1st,normal
110022,2nd,normal
110031,1st,normal
110032,2nd,normal
110041,1st,normal
110042,2nd,normal
110051,1st,normal
110052,2nd,normal
110061,1st,normal
110062,2nd,normal
110071,1st,normal
110072,2nd,normal
110081,1st,normal
110082,2nd,normal
110091,1st,normal
110092,2nd,normal
110101,1st,normal
110102,2nd,normal
110111,1st,normal
110112,2nd,normal
110121,1st,normal
110122,2nd,normal
120011,1st,normal
120012,2nd,normal
120021,1st,normal
120022,2nd,normal
120031,1st,normal
120032,2nd,normal
120041,1st,normal
120042,2nd,normal
120051,1st,normal
120052,2nd,normal
120061,1st,normal
120062,2nd,normal
510011,1st,limited
