level,required_exp_50,required_exp_70,required_exp_100,required_exp_150,required_exp_200,required_exp_250,required_exp_300,required_exp_400
1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,5,8,11,16,23,28,33,44
3,25,34,49,74,102,127,152,201
4,52,72,104,155,218,270,322,426
5,85,120,170,257,359,445,530,700
6,124,174,249,372,522,645,769,1018
7,168,234,334,502,703,870,1038,1372
8,214,301,430,644,901,1116,1331,1760
9,266,372,531,797,1116,1382,1647,2179
10,320,448,640,960,1344,1665,1985,2625
11,378,529,756,1134,1588,1965,2343,3099
12,439,614,878,1316,1842,2281,2720,3598
13,502,704,1005,1508,2111,2613,3116,4120
14,569,796,1138,1707,2390,2960,3528,4667
15,639,894,1277,1916,2682,3319,3958,5235
16,710,994,1420,2130,2982,3693,4404,5824
17,785,1099,1569,2354,3296,4080,4864,6433
18,861,1206,1723,2584,3617,4479,5340,7063
19,940,1316,1880,2821,3949,4890,5830,7710
20,1022,1431,2044,3065,4292,5312,6334,8378
21,1105,1547,2210,3315,4641,5748,6853,9063
22,1191,1667,2382,3573,5002,6192,7383,9765
23,1279,1790,2557,3836,5370,6649,7928,10485
24,1368,1916,2737,4105,5748,7116,8484,11221
25,1460,2044,2921,4381,6133,7593,9054,11974
26,1554,2176,3108,4662,6527,8081,9634,12743
27,1650,2309,3299,4949,6928,8578,10228,13527
28,1747,2446,3494,5241,7338,9085,10832,14327
29,1847,2585,3693,5540,7755,9602,11449,15141
30,1947,2727,3896,5843,8181,10128,12075,15971
31,2051,2871,4101,6152,8612,10663,12714,16814
32,2155,3017,4310,6465,9052,11207,13362,17673
33,2262,3167,4523,6785,9499,11760,14022,18545
34,2369,3317,4740,7109,9952,12322,14692,19431
35,2480,3471,4958,7438,10413,12893,15371,20331
36,2590,3627,5182,7772,10881,13471,16063,21243
37,2704,3785,5407,8111,11355,14059,16762,22170
38,2818,3945,5636,8454,11836,14654,17472,23108
39,2934,4108,5868,8802,12324,15258,18192,24060
40,3052,4273,6104,9156,12817,15869,18921,25025
41,3171,4439,6342,9513,13318,16489,19660,26001
42,3291,4608,6583,9874,13824,17116,20407,26991
43,3414,4779,6827,10241,14338,17751,21165,27992
44,3537,4952,7074,10612,14856,18393,21930,29005
45,3662,5127,7325,10986,15381,19044,22706,30030
46,3789,5305,7577,11366,15913,19701,23490,31067
47,3917,5483,7833,11750,16449,20366,24282,32116
48,4045,5664,8092,12137,16992,21038,25084,33175
49,4177,5847,8353,12529,17541,21717,25893,34246
50,4308,6031,8616,12925,18095,22403,26712,35329
51,4442,6219,8884,13325,18655,23097,27539,36422
52,4576,6407,9152,13730,19221,23797,28373,37526
53,4713,6597,9425,14137,19792,24505,29217,38641
54,4849,6790,9699,14549,20369,25218,30068,39768
55,4989,6983,9977,14965,20950,25939,30927,40903
56,5128,7180,10256,15384,21539,26666,31795,42052
57,5269,7377,10539,15808,22131,27401,32670,43208
58,5412,7576,10824,16235,22729,28141,33553,44376
59,5555,7778,11110,16667,23333,28888,34444,45555
60,5701,7980,11401,17101,23942,29642,35342,46743
61,5846,8185,11693,17539,24555,30402,36248,47941
62,5994,8392,11988,17982,25174,31168,37162,49150
63,6142,8599,12285,18427,25798,31940,38083,50367
64,6292,8809,12584,18876,26427,32720,39011,51596
65,6444,9020,12886,19330,27061,33504,39948,52834
66,6595,9234,13191,19786,27700,34295,40890,54081
67,6748,9448,13497,20245,28344,35093,41841,55338
68,6903,9664,13806,20709,28993,35895,42799,56605
69,7059,9882,14117,21176,29646,36705,43763,57880
70,7215,10102,14431,21646,30305,37520,44736,59166
71,7374,10322,14746,22120,30967,38341,45714,60461
72,7532,10545,15065,22597,31636,39168,46700,61765
73,7692,10770,15385,23077,32308,40000,47693,63077
74,7854,10995,15707,23561,32985,40839,48692,64400
75,8016,11222,16032,24048,33667,41683,49699,65731
76,8179,11451,16359,24538,34354,42533,50713,67071
77,8344,11682,16688,25032,35044,43389,51732,68420
78,8510,11913,17019,25528,35740,44249,52759,69779
79,8676,12147,17352,26029,36440,45116,53792,71144
80,8844,12381,17688,26532,37145,45989,54833,72521
81,9013,12618,18025,27038,37853,46866,55879,73904
82,9182,12856,18366,27548,38567,47750,56932,75297
83,9354,13095,18706,28060,39285,48638,57991,76699
84,9525,13335,19051,28576,40007,49532,59058,78108
85,9698,13578,19397,29095,40733,50431,60130,79527
86,9873,13821,19745,29618,41464,51336,61208,80953
87,10047,14066,20094,30142,42198,52247,62294,82388
88,10224,14313,20447,30670,42939,53161,63385,83832
89,10400,14561,20801,31201,43681,54082,64482,85283
90,10578,14810,21157,31735,44430,55008,65587,86744
91,10758,15060,21515,32273,45181,55939,66696,88211
92,10937,15313,21875,32812,45938,56875,67812,89687
93,11119,15565,22237,33356,46697,57816,68935,91172
94,11300,15821,22601,33901,47462,58763,70063,92663
95,11484,16077,22966,34450,48231,59713,71197,94165
96,11667,16334,23335,35002,49002,60670,72338,95672
97,11852,16593,23705,35557,49780,61632,73483,97188
98,12038,16854,24076,36114,50560,62598,74636,98712
99,12225,17114,24450,36675,51344,63569,75795,100244
