level,material_exp
1,0
2,51
3,90
4,129
5,167
6,205
7,243
8,280
9,317
10,353
11,389
12,425
13,460
14,495
15,529
16,563
17,597
18,630
19,663
20,695
21,727
22,759
23,790
24,821
25,851
26,881
27,911
28,940
29,969
30,997
31,1025
32,1053
33,1080
34,1107
35,1133
36,1159
37,1185
38,1210
39,1235
40,1259
41,1283
42,1307
43,1330
44,1353
45,1375
46,1397
47,1419
48,1440
49,1461
50,1481
51,1501
52,1521
53,1540
54,1559
55,1577
56,1595
57,1613
58,1630
59,1647
60,1663
61,1679
62,1695
63,1710
64,1725
65,1739
66,1753
67,1767
68,1780
69,1793
70,1805
71,1817
72,1829
73,1840
74,1851
75,1861
76,1871
77,1881
78,1890
79,1899
80,1907
81,1915
82,1923
83,1930
84,1937
85,1943
86,1949
87,1955
88,1960
89,1965
90,1969
91,1973
92,1977
93,1980
94,1983
95,1985
96,1987
97,1989
98,1990
99,1991
