weekly_mission_group_id,weekly_mission_id,priority
1,1021,1
1,2021,2
1,3031,3
1,3071,4
1,9201,5
1,9301,6
2,1022,1
2,2022,2
2,3032,3
2,3072,4
2,9202,5
2,9302,6
3,1023,1
3,2023,2
3,3033,3
3,3073,4
3,9203,5
3,9303,6
4,10000,8
4,10004,7
4,3004,6
4,3034,5
4,3074,4
4,1004,3
4,1024,2
4,2024,1
5,10000,8
5,10005,7
5,3005,6
5,3035,5
5,3075,4
5,1005,3
5,1025,2
5,2025,1
6,10000,8
6,10006,7
6,3006,6
6,3036,5
6,3076,4
6,1006,3
6,1026,2
6,2026,1
7,10000,8
7,10004,7
7,3004,6
7,3034,5
7,3074,4
7,1004,3
7,1024,2
7,2024,1
7,2030,1
8,10000,8
8,10005,7
8,3005,6
8,3035,5
8,3075,4
8,1005,3
8,1025,2
8,2025,1
8,2030,1
9,10000,8
9,10006,7
9,3006,6
9,3036,5
9,3076,4
9,1006,3
9,1026,2
9,2026,1
9,2030,1
10,40030,1000
10,40050,1001
10,40070,1002
10,41030,30
10,41052,50
10,41101,100
10,41153,150
10,41202,200
10,41300,300
10,42031,31
10,42050,51
10,42102,101
10,42151,151
10,42200,202
10,42300,301
10,43000,2
10,43001,1
11,40030,1000
11,40050,1001
11,40070,1002
11,41031,30
11,41050,50
11,41102,100
11,41151,150
11,41200,200
11,41300,300
11,42032,31
11,42053,51
11,42100,101
11,42152,151
11,42201,202
11,42300,301
11,43000,2
11,43001,1
12,40030,1000
12,40050,1001
12,40070,1002
12,41032,30
12,41051,50
12,41100,100
12,41153,150
12,41201,200
12,41300,300
12,42030,31
12,42052,51
12,42101,101
12,42150,151
12,42202,202
12,42300,301
12,43000,2
12,43001,1
13,40030,1000
13,40050,1001
13,40070,1002
13,41030,30
13,41052,50
13,41101,100
13,41153,150
13,41202,200
13,41300,300
13,42031,31
13,42050,51
13,42102,101
13,42151,151
13,42200,202
13,42300,301
13,43002,2
13,43001,1
14,40030,1000
14,40050,1001
14,40070,1002
14,41031,30
14,41050,50
14,41102,100
14,41151,150
14,41200,200
14,41300,300
14,42032,31
14,42053,51
14,42100,101
14,42152,151
14,42201,202
14,42300,301
14,43002,2
14,43001,1
15,40030,1000
15,40050,1001
15,40070,1002
15,41032,30
15,41051,50
15,41100,100
15,41153,150
15,41201,200
15,41300,300
15,42030,31
15,42052,51
15,42101,101
15,42150,151
15,42202,202
15,42300,301
15,43002,2
15,43001,1
16,40030,1000
16,40050,1001
16,40070,1002
16,41030,30
16,41052,50
16,41101,100
16,41153,150
16,41202,200
16,41300,300
16,42031,31
16,42050,51
16,42102,101
16,42151,151
16,42200,202
16,42300,301
16,43002,2
16,43003,1
17,40030,1000
17,40050,1001
17,40070,1002
17,41031,30
17,41050,50
17,41102,100
17,41151,150
17,41200,200
17,41300,300
17,42032,31
17,42053,51
17,42100,101
17,42152,151
17,42201,202
17,42300,301
17,43002,2
17,43003,1
18,40030,1000
18,40050,1001
18,40070,1002
18,41032,30
18,41051,50
18,41100,100
18,41153,150
18,41201,200
18,41300,300
18,42030,31
18,42052,51
18,42101,101
18,42150,151
18,42202,202
18,42300,301
18,43002,2
18,43003,1
100,3007,1000
100,3008,1001
100,3037,1002
100,3041,1003
100,3051,1004
100,3061,1005
100,3077,1006
100,41033,30
100,41054,50
100,41103,100
100,41154,150
100,41203,200
100,41301,300
100,41400,400
100,42033,31
100,42054,51
100,42103,101
100,42154,151
100,42203,201
100,42301,301
100,42400,401
101,3009,1000
101,3021,1001
101,3038,1002
101,3041,1003
101,3051,1004
101,3061,1005
101,3077,1006
101,41033,30
101,41054,50
101,41070,70
101,41090,90
101,41110,110
101,41130,130
101,41155,150
101,41204,200
101,41302,300
102,44001,1000
102,44002,1001
102,44003,1002
102,44004,1003
102,44005,1004
102,44006,1005
102,44007,1006
102,45001,1007
102,45002,1008
102,45003,1009
102,45004,1010
102,45005,1011
102,45006,1012
102,45007,1013
102,45008,1014
102,45009,1015
102,45010,1016
103,3009,1000
103,3021,1001
103,3038,1002
103,3041,1003
103,3051,1004
103,3061,1005
103,3077,1006
103,41033,30
103,41054,50
103,41070,70
103,41090,90
103,41110,110
103,41130,130
103,41155,150
103,41204,200
103,41302,300
