weekly_mission_id,achievement_criterion_id,achievement_id
1004,WC004,WU1223
1005,WC005,WU1233
1006,WC006,WU1213
1021,WC021,WU1211
1022,WC022,WU1221
1023,WC023,WU1231
1024,WC024,WU1233
1025,WC025,WU1213
1026,WC026,WU1223
2021,WM021,WU1231
2022,WM022,WU1211
2023,WM023,WU1221
2024,WM024,WU1213
2025,WM025,WU1223
2026,WM026,WU1233
2030,WM030,U01251
3004,WL004,WU1213
3005,WL005,WU1223
3006,WL006,WU1233
3007,WL007,WB100
3008,WL021,WB200
3009,WL008,WU6081
3021,WL022,WU6091
3031,WL031,WU1221
3032,WL032,WU1231
3033,WL033,WU1211
3034,WL034,WU1223
3035,WL035,WU1233
3036,WL036,WU1213
3037,WL037,WB300
3038,WL038,WU6071
3041,WL041,WB400
3051,WL051,WU8372
3061,WL061,WP001
3071,WL071,WU1211
3072,WL072,WU1221
3073,WL073,WU1231
3074,WL074,WU1233
3075,WL075,WU1213
3076,WL076,WU1223
3077,WL077,WP004
9201,WG203,WU1231
9202,WG201,WU1211
9203,WG202,WU1221
9301,WG302,WU1221
9302,WG303,WU1231
9303,WG301,WU1211
10000,WGQ000,U01193
10004,WGC004,WU1233
10005,WGC005,WU1213
10006,WGC006,WU1223
40030,WL4030,WB030
40050,WL4050,WL005
40070,WL4070,WP001
41030,WC4030,WU6071
41031,WC4031,WU6081
41032,WC4032,WU6091
41033,WC4033,WU3471
41050,WC4050,WU3341
41051,WC4051,WU3381
41052,WC4052,WU3421
41053,WC4053,WU3461
41054,WC4054,WU3391
41070,WC4070,WU3351
41090,WC4090,WU3431
41100,WC4100,WU6071
41101,WC4101,WU6081
41102,WC4102,WU6091
41103,WC4103,WU6121
41110,WC4110,WU6121
41130,WC4130,WU6131
41150,WC4150,WU3341
41151,WC4151,WU3381
41152,WC4152,WU3421
41153,WC4153,WU3461
41154,WC4154,WU6131
41155,WC4155,WU6111
41200,WC4200,WU6071
41201,WC4201,WU6081
41202,WC4202,WU6091
41203,WC4203,WU6111
41204,WC4204,WU6101
41300,WC4300,WU1251
41301,WC4301,WU6101
41302,WC4302,WU6141
41400,WC4400,WU6141
42030,WM4030,WU6071
42031,WM4031,WU6081
42032,WM4032,WU6091
42033,WM4033,WU3431
42050,WM4050,WU3341
42051,WM4051,WU3381
42052,WM4052,WU3421
42053,WM4053,WU3461
42054,WM4054,WU3351
42100,WM4100,WU6071
42101,WM4101,WU6081
42102,WM4102,WU6091
42103,WM4103,WU6121
42150,WM4150,WU3341
42151,WM4151,WU3381
42152,WM4152,WU3421
42153,WM4153,WU3461
42154,WM4154,WU6131
42200,WM4200,WU6071
42201,WM4201,WU6081
42202,WM4202,WU6091
42203,WM4203,WU6111
42300,WM4300,WP001
42301,WM4301,WP001
42400,WM4400,WP004
43000,WQ4000,WB060
43001,WQ4001,WL003
43002,WQ4002,WB100
43003,WQ4003,WL005
44001,WL010,WP001
44002,WL020,WP002
44003,WL030,WP003
44004,WL040,WP004
44005,WL050,WP005
44006,WL060,WP005
44007,WL070,WP005
45001,WC5000,U08371
45002,WC5001,WI500
45003,WC5002,L0020
45004,WC5003,WU6102
45005,WC5004,WB1000
45006,WC5005,WU6122
45007,WC5006,WU6132
45008,WC5007,WU6112
45009,WC5008,WB2000
45010,WC5009,WU8373
